experiment,task,case,method,seed,width,samples,steps,accuracy,successes,unresolved_rate,mean_final_density_error,runtime_seconds,published_accuracy,rule_lut_bits,anf_description_bits,output_ones,local_semantics_source,truth_reachable,predicted_reachable,truth_distance,predicted_distance,distance_exact
E20,density_classification,iid_bernoulli_half,majority,0,149,1000,298,0.0,0.0,1.0,0.41472483221476514,5.982534799957648,0.0,128.0,115.0,64.0,published_rule_replay,,,,,
E20,density_classification,iid_bernoulli_half,block_expand,0,149,1000,298,0.646,646.0,0.0,0.354,5.943872200092301,0.652,128.0,128.0,51.0,published_rule_replay,,,,,
E20,density_classification,iid_bernoulli_half,particle,0,149,1000,298,0.796,796.0,0.0,0.204,3.213548299856484,0.769,128.0,125.0,63.0,published_rule_replay,,,,,
E20,density_classification,iid_bernoulli_half,gkl,0,149,1000,298,0.815,815.0,0.001,0.18408053691275167,4.772532099857926,,128.0,33.0,64.0,published_structural_rule,,,,,
E20,global_synchronization,iid_bernoulli_half,phi_sync,0,149,1000,298,1.0,1000.0,0.0,,4.558815999887884,1.0,128.0,135.0,59.0,published_rule_replay,,,,,
E20,global_synchronization,iid_bernoulli_half,naive_oscillator,0,149,1000,298,0.539,539.0,0.461,,3.4479785999283195,0.54,128.0,14.0,1.0,published_rule_replay,,,,,
E20,density_classification,iid_bernoulli_half,majority,1,149,1000,298,0.0,0.0,1.0,0.4156979865771812,5.766341800102964,0.0,128.0,115.0,64.0,published_rule_replay,,,,,
E20,density_classification,iid_bernoulli_half,block_expand,1,149,1000,298,0.671,671.0,0.0,0.329,5.045785899972543,0.652,128.0,128.0,51.0,published_rule_replay,,,,,
E20,density_classification,iid_bernoulli_half,particle,1,149,1000,298,0.762,762.0,0.0,0.238,3.772360499948263,0.769,128.0,125.0,63.0,published_rule_replay,,,,,
E20,density_classification,iid_bernoulli_half,gkl,1,149,1000,298,0.809,809.0,0.0,0.191,4.152661999920383,,128.0,33.0,64.0,published_structural_rule,,,,,
E20,global_synchronization,iid_bernoulli_half,phi_sync,1,149,1000,298,1.0,1000.0,0.0,,3.7679393000435084,1.0,128.0,135.0,59.0,published_rule_replay,,,,,
E20,global_synchronization,iid_bernoulli_half,naive_oscillator,1,149,1000,298,0.559,559.0,0.441,,3.7344505998771638,0.54,128.0,14.0,1.0,published_rule_replay,,,,,
E20,density_classification,iid_bernoulli_half,majority,2,149,1000,298,0.0,0.0,1.0,0.41848322147651,4.2137200001161546,0.0,128.0,115.0,64.0,published_rule_replay,,,,,
E20,density_classification,iid_bernoulli_half,block_expand,2,149,1000,298,0.651,651.0,0.0,0.349,3.1003614000510424,0.652,128.0,128.0,51.0,published_rule_replay,,,,,
E20,density_classification,iid_bernoulli_half,particle,2,149,1000,298,0.768,768.0,0.0,0.232,3.821486100088805,0.769,128.0,125.0,63.0,published_rule_replay,,,,,
E20,density_classification,iid_bernoulli_half,gkl,2,149,1000,298,0.822,822.0,0.001,0.17791275167785237,5.52064389991574,,128.0,33.0,64.0,published_structural_rule,,,,,
E20,global_synchronization,iid_bernoulli_half,phi_sync,2,149,1000,298,1.0,1000.0,0.0,,3.4046503000427037,1.0,128.0,135.0,59.0,published_rule_replay,,,,,
E20,global_synchronization,iid_bernoulli_half,naive_oscillator,2,149,1000,298,0.567,567.0,0.433,,4.458951799897477,0.54,128.0,14.0,1.0,published_rule_replay,,,,,
E20,density_classification,iid_bernoulli_half,majority,0,599,256,1198,0.0,0.0,1.0,0.4557335141903172,14.780227500014007,0.0,128.0,115.0,64.0,published_rule_replay,,,,,
E20,density_classification,iid_bernoulli_half,block_expand,0,599,256,1198,0.53515625,137.0,0.0,0.46484375,16.15463409991935,0.515,128.0,128.0,51.0,published_rule_replay,,,,,
E20,density_classification,iid_bernoulli_half,particle,0,599,256,1198,0.72265625,185.0,0.0,0.27734375,17.28498229989782,0.725,128.0,125.0,63.0,published_rule_replay,,,,,
E20,density_classification,iid_bernoulli_half,gkl,0,599,256,1198,0.7578125,194.0,0.0,0.2421875,18.124062800081447,,128.0,33.0,64.0,published_structural_rule,,,,,
E20,global_synchronization,iid_bernoulli_half,phi_sync,0,599,256,1198,0.98828125,253.0,0.01171875,,13.397941200062633,1.0,128.0,135.0,59.0,published_rule_replay,,,,,
E20,global_synchronization,iid_bernoulli_half,naive_oscillator,0,599,256,1198,0.12890625,33.0,0.87109375,,14.824101499980316,0.09,128.0,14.0,1.0,published_rule_replay,,,,,
E20,density_classification,iid_bernoulli_half,majority,1,599,256,1198,0.0,0.0,1.0,0.4563921640233723,14.898518400033936,0.0,128.0,115.0,64.0,published_rule_replay,,,,,
E20,density_classification,iid_bernoulli_half,block_expand,1,599,256,1198,0.5078125,130.0,0.0,0.4921875,16.93014939990826,0.515,128.0,128.0,51.0,published_rule_replay,,,,,
E20,density_classification,iid_bernoulli_half,particle,1,599,256,1198,0.73046875,187.0,0.0,0.26953125,14.869415300199762,0.725,128.0,125.0,63.0,published_rule_replay,,,,,
E20,density_classification,iid_bernoulli_half,gkl,1,599,256,1198,0.75,192.0,0.0,0.25,14.231960899895057,,128.0,33.0,64.0,published_structural_rule,,,,,
E20,global_synchronization,iid_bernoulli_half,phi_sync,1,599,256,1198,0.9921875,254.0,0.0078125,,14.237066100118682,1.0,128.0,135.0,59.0,published_rule_replay,,,,,
E20,global_synchronization,iid_bernoulli_half,naive_oscillator,1,599,256,1198,0.09765625,25.0,0.90234375,,19.89368320000358,0.09,128.0,14.0,1.0,published_rule_replay,,,,,
E20,density_classification,iid_bernoulli_half,majority,0,999,128,1998,0.0,0.0,1.0,0.4723238863863864,29.47414750000462,0.0,128.0,115.0,64.0,published_rule_replay,,,,,
E20,density_classification,iid_bernoulli_half,block_expand,0,999,128,1998,0.5234375,67.0,0.0,0.4765625,33.927046600030735,0.503,128.0,128.0,51.0,published_rule_replay,,,,,
E20,density_classification,iid_bernoulli_half,particle,0,999,128,1998,0.6796875,87.0,0.0,0.3203125,32.81961610005237,0.714,128.0,125.0,63.0,published_rule_replay,,,,,
E20,density_classification,iid_bernoulli_half,gkl,0,999,128,1998,0.7578125,97.0,0.0,0.2421875,28.601655300008133,,128.0,33.0,64.0,published_structural_rule,,,,,
E20,global_synchronization,iid_bernoulli_half,phi_sync,0,999,128,1998,0.984375,126.0,0.015625,,36.0801335000433,1.0,128.0,135.0,59.0,published_rule_replay,,,,,
E20,global_synchronization,iid_bernoulli_half,naive_oscillator,0,999,128,1998,0.015625,2.0,0.984375,,26.333786099916324,0.02,128.0,14.0,1.0,published_rule_replay,,,,,
E20,density_classification,iid_bernoulli_half,majority,1,999,128,1998,0.0,0.0,1.0,0.46824167917917914,27.485114299925044,0.0,128.0,115.0,64.0,published_rule_replay,,,,,
E20,density_classification,iid_bernoulli_half,block_expand,1,999,128,1998,0.390625,50.0,0.0,0.609375,33.827025700127706,0.503,128.0,128.0,51.0,published_rule_replay,,,,,
E20,density_classification,iid_bernoulli_half,particle,1,999,128,1998,0.703125,90.0,0.0,0.296875,29.770824099890888,0.714,128.0,125.0,63.0,published_rule_replay,,,,,
E20,density_classification,iid_bernoulli_half,gkl,1,999,128,1998,0.765625,98.0,0.0,0.234375,33.06160130002536,,128.0,33.0,64.0,published_structural_rule,,,,,
E20,global_synchronization,iid_bernoulli_half,phi_sync,1,999,128,1998,0.96875,124.0,0.03125,,32.40820090007037,1.0,128.0,135.0,59.0,published_rule_replay,,,,,
E20,global_synchronization,iid_bernoulli_half,naive_oscillator,1,999,128,1998,0.046875,6.0,0.953125,,31.5314416999463,0.02,128.0,14.0,1.0,published_rule_replay,,,,,
E21,boolean_pathfinding,long_snake_reachable,OracleBFS,0,16,1,134,1.0,,0.0,,0.0005948999896645546,,,,,independent_queue_oracle,1.0,1.0,134.0,134.0,1.0
E21,boolean_pathfinding,long_snake_reachable,BooleanWavefrontFull,0,16,1,134,1.0,,0.0,,0.019235300133004785,,,,,hand_coded_boolean_recurrence,1.0,1.0,134.0,134.0,1.0
E21,boolean_pathfinding,long_snake_reachable,FixedK16Wavefront,0,16,1,16,0.0,,1.0,,0.002063099993392825,,,,,hand_coded_boolean_recurrence,1.0,0.0,134.0,-1.0,0.0
E21,boolean_pathfinding,long_snake_blocked,OracleBFS,1,16,1,0,1.0,,0.0,,0.00029499991796910763,,,,,independent_queue_oracle,0.0,0.0,-1.0,-1.0,1.0
E21,boolean_pathfinding,long_snake_blocked,BooleanWavefrontFull,1,16,1,76,1.0,,0.0,,0.013399400049820542,,,,,hand_coded_boolean_recurrence,0.0,0.0,-1.0,-1.0,1.0
E21,boolean_pathfinding,long_snake_blocked,FixedK16Wavefront,1,16,1,16,1.0,,0.0,,0.0019857999868690968,,,,,hand_coded_boolean_recurrence,0.0,0.0,-1.0,-1.0,1.0
E21,boolean_pathfinding,random_carved_reachable,OracleBFS,2,16,1,30,1.0,,0.0,,0.0006015000399202108,,,,,independent_queue_oracle,1.0,1.0,30.0,30.0,1.0
E21,boolean_pathfinding,random_carved_reachable,BooleanWavefrontFull,2,16,1,30,1.0,,0.0,,0.003839000128209591,,,,,hand_coded_boolean_recurrence,1.0,1.0,30.0,30.0,1.0
E21,boolean_pathfinding,random_carved_reachable,FixedK16Wavefront,2,16,1,16,0.0,,1.0,,0.0019420001190155745,,,,,hand_coded_boolean_recurrence,1.0,0.0,30.0,-1.0,0.0
E21,boolean_pathfinding,random_isolated_target,OracleBFS,3,16,1,0,1.0,,0.0,,0.0006790000479668379,,,,,independent_queue_oracle,0.0,0.0,-1.0,-1.0,1.0
E21,boolean_pathfinding,random_isolated_target,BooleanWavefrontFull,3,16,1,38,1.0,,0.0,,0.006548299919813871,,,,,hand_coded_boolean_recurrence,0.0,0.0,-1.0,-1.0,1.0
E21,boolean_pathfinding,random_isolated_target,FixedK16Wavefront,3,16,1,16,1.0,,0.0,,0.0019332000520080328,,,,,hand_coded_boolean_recurrence,0.0,0.0,-1.0,-1.0,1.0
E21,boolean_pathfinding,long_snake_reachable,OracleBFS,4,16,1,134,1.0,,0.0,,0.0004987998399883509,,,,,independent_queue_oracle,1.0,1.0,134.0,134.0,1.0
E21,boolean_pathfinding,long_snake_reachable,BooleanWavefrontFull,4,16,1,134,1.0,,0.0,,0.0181513000279665,,,,,hand_coded_boolean_recurrence,1.0,1.0,134.0,134.0,1.0
E21,boolean_pathfinding,long_snake_reachable,FixedK16Wavefront,4,16,1,16,0.0,,1.0,,0.0028458999004215,,,,,hand_coded_boolean_recurrence,1.0,0.0,134.0,-1.0,0.0
E21,boolean_pathfinding,long_snake_blocked,OracleBFS,5,16,1,0,1.0,,0.0,,0.00028650020249187946,,,,,independent_queue_oracle,0.0,0.0,-1.0,-1.0,1.0
E21,boolean_pathfinding,long_snake_blocked,BooleanWavefrontFull,5,16,1,76,1.0,,0.0,,0.01167670008726418,,,,,hand_coded_boolean_recurrence,0.0,0.0,-1.0,-1.0,1.0
E21,boolean_pathfinding,long_snake_blocked,FixedK16Wavefront,5,16,1,16,1.0,,0.0,,0.0020004000980407,,,,,hand_coded_boolean_recurrence,0.0,0.0,-1.0,-1.0,1.0
