case,family,n_inputs,seed,samples,output_ones,output_entropy_bits,truth_table_bits,best_function_language,best_function_bits,anf_terms,anf_degree,anf_gate_upper,best_robdd_nodes,best_robdd_order,threshold_exact,minimum_formula_gates,minimum_formula_exact,language,description_bits,saving_vs_truth_table_bits,selected
rule110,cellular_rule,3,-1,8,5,0.9544340029249649,8,TruthTable,11,4,3,6,4,0-1-2,0.0,4.0,1.0,TruthTable,11,-3,1.0
rule110,cellular_rule,3,-1,8,5,0.9544340029249649,8,TruthTable,11,4,3,6,4,0-1-2,0.0,4.0,1.0,Onset,14,-6,0.0
rule110,cellular_rule,3,-1,8,5,0.9544340029249649,8,TruthTable,11,4,3,6,4,0-1-2,0.0,4.0,1.0,ANF,15,-7,0.0
rule110,cellular_rule,3,-1,8,5,0.9544340029249649,8,TruthTable,11,4,3,6,4,0-1-2,0.0,4.0,1.0,ROBDD,38,-30,0.0
rule110,cellular_rule,3,-1,8,5,0.9544340029249649,8,TruthTable,11,4,3,6,4,0-1-2,0.0,4.0,1.0,ExactFormula,40,-32,0.0
majority3,threshold,3,-1,8,4,1.0,8,TruthTable,11,3,2,5,4,0-1-2,1.0,4.0,1.0,TruthTable,11,-3,1.0
majority3,threshold,3,-1,8,4,1.0,8,TruthTable,11,3,2,5,4,0-1-2,1.0,4.0,1.0,Onset,15,-7,0.0
majority3,threshold,3,-1,8,4,1.0,8,TruthTable,11,3,2,5,4,0-1-2,1.0,4.0,1.0,ANF,14,-6,0.0
majority3,threshold,3,-1,8,4,1.0,8,TruthTable,11,3,2,5,4,0-1-2,1.0,4.0,1.0,ROBDD,38,-30,0.0
majority3,threshold,3,-1,8,4,1.0,8,TruthTable,11,3,2,5,4,0-1-2,1.0,4.0,1.0,Threshold,20,-12,0.0
majority3,threshold,3,-1,8,4,1.0,8,TruthTable,11,3,2,5,4,0-1-2,1.0,4.0,1.0,ExactFormula,40,-32,0.0
parity4,parity,4,-1,16,8,1.0,16,ANF,19,4,1,3,7,0-1-2-3,0.0,3.0,1.0,TruthTable,19,-3,0.0
parity4,parity,4,-1,16,8,1.0,16,ANF,19,4,1,3,7,0-1-2-3,0.0,3.0,1.0,Onset,25,-9,0.0
parity4,parity,4,-1,16,8,1.0,16,ANF,19,4,1,3,7,0-1-2-3,0.0,3.0,1.0,ANF,19,-3,1.0
parity4,parity,4,-1,16,8,1.0,16,ANF,19,4,1,3,7,0-1-2-3,0.0,3.0,1.0,ROBDD,68,-52,0.0
parity4,parity,4,-1,16,8,1.0,16,ANF,19,4,1,3,7,0-1-2-3,0.0,3.0,1.0,ExactFormula,34,-18,0.0
sparse_dnf4,sparse_dnf,4,-1,16,7,0.9886994082884974,16,ANF,18,3,4,7,4,0-1-2-3,0.0,3.0,1.0,TruthTable,19,-3,0.0
sparse_dnf4,sparse_dnf,4,-1,16,7,0.9886994082884974,16,ANF,18,3,4,7,4,0-1-2-3,0.0,3.0,1.0,Onset,25,-9,0.0
sparse_dnf4,sparse_dnf,4,-1,16,7,0.9886994082884974,16,ANF,18,3,4,7,4,0-1-2-3,0.0,3.0,1.0,ANF,18,-2,1.0
sparse_dnf4,sparse_dnf,4,-1,16,7,0.9886994082884974,16,ANF,18,3,4,7,4,0-1-2-3,0.0,3.0,1.0,ROBDD,40,-24,0.0
sparse_dnf4,sparse_dnf,4,-1,16,7,0.9886994082884974,16,ANF,18,3,4,7,4,0-1-2-3,0.0,3.0,1.0,ExactFormula,34,-18,0.0
mux4,decision,4,-1,16,8,1.0,16,ANF,18,3,2,4,3,0-1-2-3,0.0,3.0,1.0,TruthTable,19,-3,0.0
mux4,decision,4,-1,16,8,1.0,16,ANF,18,3,2,4,3,0-1-2-3,0.0,3.0,1.0,Onset,25,-9,0.0
mux4,decision,4,-1,16,8,1.0,16,ANF,18,3,2,4,3,0-1-2-3,0.0,3.0,1.0,ANF,18,-2,1.0
mux4,decision,4,-1,16,8,1.0,16,ANF,18,3,2,4,3,0-1-2-3,0.0,3.0,1.0,ROBDD,32,-16,0.0
mux4,decision,4,-1,16,8,1.0,16,ANF,18,3,2,4,3,0-1-2-3,0.0,3.0,1.0,ExactFormula,34,-18,0.0
reused_subexpr4,reuse,4,-1,16,6,0.9544340029249649,16,TruthTable,19,6,3,13,5,0-1-2-3,0.0,3.0,1.0,TruthTable,19,-3,1.0
reused_subexpr4,reuse,4,-1,16,6,0.9544340029249649,16,TruthTable,19,6,3,13,5,0-1-2-3,0.0,3.0,1.0,Onset,21,-5,0.0
reused_subexpr4,reuse,4,-1,16,6,0.9544340029249649,16,TruthTable,19,6,3,13,5,0-1-2-3,0.0,3.0,1.0,ANF,21,-5,0.0
reused_subexpr4,reuse,4,-1,16,6,0.9544340029249649,16,TruthTable,19,6,3,13,5,0-1-2-3,0.0,3.0,1.0,ROBDD,48,-32,0.0
reused_subexpr4,reuse,4,-1,16,6,0.9544340029249649,16,TruthTable,19,6,3,13,5,0-1-2-3,0.0,3.0,1.0,ExactFormula,34,-18,0.0
random_balanced4_s0,random_balanced,4,0,16,8,1.0,16,ANF,18,3,2,3,4,0-2-3-1,0.0,3.0,1.0,TruthTable,19,-3,0.0
random_balanced4_s0,random_balanced,4,0,16,8,1.0,16,ANF,18,3,2,3,4,0-2-3-1,0.0,3.0,1.0,Onset,25,-9,0.0
random_balanced4_s0,random_balanced,4,0,16,8,1.0,16,ANF,18,3,2,3,4,0-2-3-1,0.0,3.0,1.0,ANF,18,-2,1.0
random_balanced4_s0,random_balanced,4,0,16,8,1.0,16,ANF,18,3,2,3,4,0-2-3-1,0.0,3.0,1.0,ROBDD,40,-24,0.0
random_balanced4_s0,random_balanced,4,0,16,8,1.0,16,ANF,18,3,2,3,4,0-2-3-1,0.0,3.0,1.0,ExactFormula,34,-18,0.0
random_balanced4_s1,random_balanced,4,1,16,8,1.0,16,TruthTable,19,7,3,14,6,1-2-0-3,0.0,6.0,1.0,TruthTable,19,-3,1.0
random_balanced4_s1,random_balanced,4,1,16,8,1.0,16,TruthTable,19,7,3,14,6,1-2-0-3,0.0,6.0,1.0,Onset,25,-9,0.0
random_balanced4_s1,random_balanced,4,1,16,8,1.0,16,TruthTable,19,7,3,14,6,1-2-0-3,0.0,6.0,1.0,ANF,25,-9,0.0
random_balanced4_s1,random_balanced,4,1,16,8,1.0,16,TruthTable,19,7,3,14,6,1-2-0-3,0.0,6.0,1.0,ROBDD,56,-40,0.0
random_balanced4_s1,random_balanced,4,1,16,8,1.0,16,TruthTable,19,7,3,14,6,1-2-0-3,0.0,6.0,1.0,ExactFormula,59,-43,0.0
random_balanced4_s2,random_balanced,4,2,16,8,1.0,16,TruthTable,19,8,3,15,8,0-1-2-3,0.0,7.0,1.0,TruthTable,19,-3,1.0
