samples,method,median_ms,iqr_ms,samples_per_second,source_input_bytes,explicit_buffer_bytes,storage_scope,output_unpacked,semantic_check
1024,float_tnorm,0.022350000000000002,0.0010499999999999989,45816554.8098434,32768,33792,float source plus explicit output,True,True
1024,bool_numpy,0.0119,4.99999999999997e-05,86050420.16806722,8192,9216,byte source plus explicit output,True,True
1024,packed_kernel,0.0038,9.999999999999983e-05,269473684.2105263,1024,1152,already-packed source plus packed result,False,True
1024,packed_end_to_end,0.0224,0.00027500000000000094,45714285.71428572,8192,10368,"byte source plus explicit packed input, packed result, and unpacked result",True,True
16384,float_tnorm,0.1032,0.001125000000000001,158759689.9224806,524288,540672,float source plus explicit output,True,True
16384,bool_numpy,0.07,0.0011999999999999927,234057142.85714284,131072,147456,byte source plus explicit output,True,True
16384,packed_kernel,0.0117,2.5000000000000716e-05,1400341880.3418803,16384,18432,already-packed source plus packed result,False,True
16384,packed_end_to_end,0.14285,0.00404999999999997,114693734.68673433,131072,165888,"byte source plus explicit packed input, packed result, and unpacked result",True,True
262144,float_tnorm,7.1104,0.6810499999999999,36867686.76867687,8388608,8650752,float source plus explicit output,True,True
262144,bool_numpy,1.0003,0.027800000000000047,262065380.38588426,2097152,2359296,byte source plus explicit output,True,True
262144,packed_kernel,0.1158,0.0006500000000000117,2263765112.2625217,262144,294912,already-packed source plus packed result,False,True
262144,packed_end_to_end,2.06595,0.08119999999999994,126887872.40736707,2097152,2654208,"byte source plus explicit packed input, packed result, and unpacked result",True,True
1048576,float_tnorm,30.511200000000002,0.6847250000000003,34366920.99950182,33554432,34603008,float source plus explicit output,True,True
1048576,bool_numpy,7.087400000000001,0.15799999999999947,147949318.50890312,8388608,9437184,byte source plus explicit output,True,True
1048576,packed_kernel,0.42865,0.003950000000000009,2446228858.042692,1048576,1179648,already-packed source plus packed result,False,True
1048576,packed_end_to_end,9.939699999999998,1.257674999999999,105493727.17486444,8388608,10616832,"byte source plus explicit packed input, packed result, and unpacked result",True,True
