scope,train_fraction,seed,method,full_accuracy,full_balanced_accuracy,ood_accuracy,ood_balanced_accuracy,ood_brier,fit_seconds,hardening_seconds,soft_to_hard_ood_balanced_drop,selected_ops
local_predicate,0.5,0,LearnedSoftGate,1.0,1.0,1.0,1.0,1.6587194875857007e-05,0.47406359994784,0.0,0.0,AND AND XOR OR OR NAND AND
local_predicate,0.5,0,LearnedHardenedGate,1.0,1.0,1.0,1.0,0.0,0.47406359994784,5.71e-05,0.0,AND AND XOR OR OR NAND AND
local_predicate,0.5,1,LearnedSoftGate,1.0,1.0,1.0,1.0,1.700074381759532e-05,0.4197349001187831,0.0,0.0,NAND NAND XOR NAND OR NAND AND
local_predicate,0.5,1,LearnedHardenedGate,1.0,1.0,1.0,1.0,0.0,0.4197349001187831,4.58e-05,0.0,NAND NAND XOR NAND OR NAND AND
local_predicate,0.5,2,LearnedSoftGate,1.0,1.0,1.0,1.0,2.071553578989438e-05,0.41971180005930364,0.0,0.0,AND AND XOR OR OR NAND AND
local_predicate,0.5,2,LearnedHardenedGate,1.0,1.0,1.0,1.0,0.0,0.41971180005930364,3.98e-05,0.0,AND AND XOR OR OR NAND AND
local_predicate,0.5,3,LearnedSoftGate,1.0,1.0,1.0,1.0,1.1009026034908749e-05,0.4150853999890387,0.0,0.0,AND AND XOR OR OR NAND AND
local_predicate,0.5,3,LearnedHardenedGate,1.0,1.0,1.0,1.0,0.0,0.4150853999890387,4.27e-05,0.0,AND AND XOR OR OR NAND AND
local_predicate,0.5,4,LearnedSoftGate,1.0,1.0,1.0,1.0,1.2925515975854332e-05,0.4189368998631835,0.0,0.0,AND AND XOR OR OR NAND AND
local_predicate,0.5,4,LearnedHardenedGate,1.0,1.0,1.0,1.0,0.0,0.4189368998631835,4.05e-05,0.0,AND AND XOR OR OR NAND AND
local_predicate,0.5,5,LearnedSoftGate,1.0,1.0,1.0,1.0,1.3352950604002378e-05,0.4180209001060575,0.0,0.0,AND AND XOR OR OR NAND AND
local_predicate,0.5,5,LearnedHardenedGate,1.0,1.0,1.0,1.0,0.0,0.4180209001060575,4.32e-05,0.0,AND AND XOR OR OR NAND AND
local_predicate,0.5,6,LearnedSoftGate,1.0,1.0,1.0,1.0,1.5471989931499324e-05,0.4276044999714941,0.0,0.0,AND AND XOR OR OR NAND AND
local_predicate,0.5,6,LearnedHardenedGate,1.0,1.0,1.0,1.0,0.0,0.4276044999714941,4.11e-05,0.0,AND AND XOR OR OR NAND AND
local_predicate,0.5,7,LearnedSoftGate,1.0,1.0,1.0,1.0,1.4999391302594668e-05,0.4180930000729859,0.0,0.0,AND AND XOR OR OR NAND AND
local_predicate,0.5,7,LearnedHardenedGate,1.0,1.0,1.0,1.0,0.0,0.4180930000729859,4.36e-05,0.0,AND AND XOR OR OR NAND AND
local_predicate,0.5,8,LearnedSoftGate,1.0,1.0,1.0,1.0,1.6379031127226075e-05,0.42072680010460317,0.0,0.0,AND AND XOR OR OR NAND AND
local_predicate,0.5,8,LearnedHardenedGate,1.0,1.0,1.0,1.0,0.0,0.42072680010460317,4.36e-05,0.0,AND AND XOR OR OR NAND AND
local_predicate,0.5,9,LearnedSoftGate,1.0,1.0,1.0,1.0,1.5808641359519884e-05,0.41591280000284314,0.0,0.0,NAND NAND XOR NAND OR NAND AND
local_predicate,0.5,9,LearnedHardenedGate,1.0,1.0,1.0,1.0,0.0,0.41591280000284314,4.75e-05,0.0,NAND NAND XOR NAND OR NAND AND
local_predicate,0.75,0,LearnedSoftGate,1.0,1.0,1.0,1.0,1.5243345097498918e-05,0.4800897999666631,0.0,0.0,NAND NAND XOR NAND OR NAND AND
local_predicate,0.75,0,LearnedHardenedGate,1.0,1.0,1.0,1.0,0.0,0.4800897999666631,5.32e-05,0.0,NAND NAND XOR NAND OR NAND AND
local_predicate,0.75,1,LearnedSoftGate,1.0,1.0,1.0,1.0,1.9129267223806298e-05,0.49814969999715686,0.0,0.0,NAND NAND XOR NAND OR NAND AND
local_predicate,0.75,1,LearnedHardenedGate,1.0,1.0,1.0,1.0,0.0,0.49814969999715686,4.61e-05,0.0,NAND NAND XOR NAND OR NAND AND
local_predicate,0.75,2,LearnedSoftGate,1.0,1.0,1.0,1.0,1.4428416191252236e-05,0.4810083000920713,0.0,0.0,AND AND XOR OR OR NAND AND
local_predicate,0.75,2,LearnedHardenedGate,1.0,1.0,1.0,1.0,0.0,0.4810083000920713,3.98e-05,0.0,AND AND XOR OR OR NAND AND
local_predicate,0.75,3,LearnedSoftGate,1.0,1.0,1.0,1.0,1.7339357360830016e-05,0.5248128001112491,0.0,0.0,NAND NAND XOR NAND OR NAND AND
local_predicate,0.75,3,LearnedHardenedGate,1.0,1.0,1.0,1.0,0.0,0.5248128001112491,4.67e-05,0.0,NAND NAND XOR NAND OR NAND AND
local_predicate,0.75,4,LearnedSoftGate,1.0,1.0,1.0,1.0,1.9312637939463723e-05,0.4801356999669224,0.0,0.0,NAND NAND XOR NAND OR NAND AND
local_predicate,0.75,4,LearnedHardenedGate,1.0,1.0,1.0,1.0,0.0,0.4801356999669224,5.19e-05,0.0,NAND NAND XOR NAND OR NAND AND
local_predicate,0.75,5,LearnedSoftGate,1.0,1.0,1.0,1.0,1.7083198760520736e-05,0.5109735999722034,0.0,0.0,AND AND XOR OR OR NAND AND
local_predicate,0.75,5,LearnedHardenedGate,1.0,1.0,1.0,1.0,0.0,0.5109735999722034,4.12e-05,0.0,AND AND XOR OR OR NAND AND
local_predicate,0.75,6,LearnedSoftGate,1.0,1.0,1.0,1.0,1.435462261775092e-05,0.4956835999619216,0.0,0.0,AND AND XOR OR OR NAND AND
local_predicate,0.75,6,LearnedHardenedGate,1.0,1.0,1.0,1.0,0.0,0.4956835999619216,3.88e-05,0.0,AND AND XOR OR OR NAND AND
local_predicate,0.75,7,LearnedSoftGate,1.0,1.0,1.0,1.0,1.8399518565333216e-05,0.500193600077182,0.0,0.0,AND AND XOR OR OR NAND AND
local_predicate,0.75,7,LearnedHardenedGate,1.0,1.0,1.0,1.0,0.0,0.500193600077182,3.96e-05,0.0,AND AND XOR OR OR NAND AND
local_predicate,0.75,8,LearnedSoftGate,1.0,1.0,1.0,1.0,1.718482717865853e-05,0.4829740000423044,0.0,0.0,AND AND XOR OR OR NAND AND
local_predicate,0.75,8,LearnedHardenedGate,1.0,1.0,1.0,1.0,0.0,0.4829740000423044,3.98e-05,0.0,AND AND XOR OR OR NAND AND
local_predicate,0.75,9,LearnedSoftGate,1.0,1.0,1.0,1.0,1.906322723642702e-05,0.48997109988704324,0.0,0.0,NAND NAND XOR NAND OR NAND AND
local_predicate,0.75,9,LearnedHardenedGate,1.0,1.0,1.0,1.0,0.0,0.48997109988704324,4.59e-05,0.0,NAND NAND XOR NAND OR NAND AND
