epsilon,seed,method,accuracy,balanced_accuracy,brier,mean_probability
0.0,0,HardGate,1.0,1.0,0.0,0.53922
0.0,0,SoftProbabilityCircuit,1.0,1.0,0.0,0.53922
0.0,1,HardGate,1.0,1.0,0.0,0.54101
0.0,1,SoftProbabilityCircuit,1.0,1.0,0.0,0.54101
0.0,2,HardGate,1.0,1.0,0.0,0.53959
0.0,2,SoftProbabilityCircuit,1.0,1.0,0.0,0.53959
0.0,3,HardGate,1.0,1.0,0.0,0.5361
0.0,3,SoftProbabilityCircuit,1.0,1.0,0.0,0.5361
0.0,4,HardGate,1.0,1.0,0.0,0.53744
0.0,4,SoftProbabilityCircuit,1.0,1.0,0.0,0.53744
0.0,5,HardGate,1.0,1.0,0.0,0.53771
0.0,5,SoftProbabilityCircuit,1.0,1.0,0.0,0.53771
0.0,6,HardGate,1.0,1.0,0.0,0.53764
0.0,6,SoftProbabilityCircuit,1.0,1.0,0.0,0.53764
0.0,7,HardGate,1.0,1.0,0.0,0.53923
0.0,7,SoftProbabilityCircuit,1.0,1.0,0.0,0.53923
0.0,8,HardGate,1.0,1.0,0.0,0.53993
0.0,8,SoftProbabilityCircuit,1.0,1.0,0.0,0.53993
0.0,9,HardGate,1.0,1.0,0.0,0.54162
0.0,9,SoftProbabilityCircuit,1.0,1.0,0.0,0.54162
0.01,0,HardGate,0.97943,0.9793176485329667,0.02057,0.53903
0.01,0,SoftProbabilityCircuit,0.97943,0.9793176485329667,0.020013731582976767,0.5389782931607058
0.01,1,HardGate,0.97928,0.9791165455461684,0.02072,0.54129
0.01,1,SoftProbabilityCircuit,0.97928,0.9791165455461684,0.02017600752415533,0.5412480625783961
0.01,2,HardGate,0.97898,0.9787963893482384,0.02102,0.54023
0.01,2,SoftProbabilityCircuit,0.97898,0.9787963893482384,0.020458423389012704,0.5402258418072318
0.01,3,HardGate,0.97887,0.9787425824836742,0.02113,0.53633
0.01,3,SoftProbabilityCircuit,0.97887,0.9787425824836742,0.020566654618603415,0.536423759501679
0.01,4,HardGate,0.9792,0.9791128373784055,0.0208,0.53704
0.01,4,SoftProbabilityCircuit,0.9792,0.9791128373784055,0.020247264751434912,0.5371377590710482
0.01,5,HardGate,0.97838,0.978259352160036,0.02162,0.53767
0.01,5,SoftProbabilityCircuit,0.97838,0.978259352160036,0.02100886319136434,0.5378238812127847
0.01,6,HardGate,0.97901,0.9789047547915364,0.02099,0.53745
0.01,6,SoftProbabilityCircuit,0.97901,0.9789047547915364,0.020429690692934387,0.5375417528767772
0.01,7,HardGate,0.97913,0.978988887186234,0.02087,0.53938
0.01,7,SoftProbabilityCircuit,0.97913,0.978988887186234,0.020311317801893738,0.5393499813852594
0.01,8,HardGate,0.97949,0.9793768411378267,0.02051,0.5397
0.01,8,SoftProbabilityCircuit,0.97949,0.9793768411378267,0.019965911041030075,0.5396723450074106
0.01,9,HardGate,0.97902,0.9788819995372771,0.02098,0.54152
0.01,9,SoftProbabilityCircuit,0.97902,0.9788819995372771,0.02041519871589493,0.5413893704955415
0.05,0,HardGate,0.902,0.9014438017116834,0.098,0.53858
0.05,0,SoftProbabilityCircuit,0.902,0.9014438017116834,0.08619101126502039,0.5386911491853329
0.05,1,HardGate,0.90272,0.902165182952841,0.09728,0.53975
0.05,1,SoftProbabilityCircuit,0.90272,0.902165182952841,0.08566539825256493,0.5398651634359547
0.05,2,HardGate,0.901,0.9002893524471814,0.099,0.54067
0.05,2,SoftProbabilityCircuit,0.901,0.9002893524471814,0.08702423591452696,0.5405692645854752
0.05,3,HardGate,0.90064,0.9000496628846717,0.09936,0.53706
0.05,3,SoftProbabilityCircuit,0.90064,0.9000496628846717,0.0873734826390068,0.5372987644118017
0.05,4,HardGate,0.90299,0.9024723643424702,0.09701,0.53705
0.05,4,SoftProbabilityCircuit,0.90299,0.9024723643424702,0.08552086914799178,0.5374219468984219
0.05,5,HardGate,0.90186,0.9011635532561719,0.09814,0.53949
0.05,5,SoftProbabilityCircuit,0.90186,0.9011635532561719,0.08631933239158605,0.5396421435889548
0.05,6,HardGate,0.90194,0.9013659772602263,0.09806,0.53784
0.05,6,SoftProbabilityCircuit,0.90194,0.9013659772602263,0.08632558811195241,0.5382860373548063
0.05,7,HardGate,0.90177,0.9011639217089851,0.09823,0.5392
0.05,7,SoftProbabilityCircuit,0.90177,0.9011639217089851,0.08635167372528418,0.5391956976414375
0.05,8,HardGate,0.90458,0.9040720258720131,0.09542,0.53863
0.05,8,SoftProbabilityCircuit,0.90458,0.9040720258720131,0.08411689357244771,0.5388161604639938
0.05,9,HardGate,0.903,0.902269562204109,0.097,0.54226
0.05,9,SoftProbabilityCircuit,0.903,0.902269562204109,0.08546849295311207,0.5416390392113297
0.1,0,HardGate,0.81974,0.8187313626374093,0.18026,0.53786
0.1,0,SoftProbabilityCircuit,0.81974,0.8187313626374093,0.14224359975451434,0.5386598593216001
0.1,1,HardGate,0.82066,0.819689781803205,0.17934,0.53805
0.1,1,SoftProbabilityCircuit,0.82066,0.819689781803205,0.14199287749932812,0.5384362129343999
0.1,2,HardGate,0.81981,0.818520988546513,0.18019,0.5415
0.1,2,SoftProbabilityCircuit,0.81981,0.818520988546513,0.14228143159802611,0.5410946622256
0.1,3,HardGate,0.81963,0.8186753978609856,0.18037,0.53623
0.1,3,SoftProbabilityCircuit,0.81963,0.8186753978609856,0.14237938182559687,0.5370703157552
0.1,4,HardGate,0.82168,0.8206172897605766,0.17832,0.5382
0.1,4,SoftProbabilityCircuit,0.82168,0.8206172897605766,0.1414010449561848,0.5384709303280001
0.1,5,HardGate,0.82154,0.8203719290460221,0.17846,0.53965
0.1,5,SoftProbabilityCircuit,0.82154,0.8203719290460221,0.14127926627212808,0.5395633843488
0.1,6,HardGate,0.81962,0.8186192015951853,0.18038,0.53728
0.1,6,SoftProbabilityCircuit,0.81962,0.8186192015951853,0.14269046280944975,0.5383396672096001
0.1,7,HardGate,0.81739,0.8163117887885274,0.18261,0.53856
0.1,7,SoftProbabilityCircuit,0.81739,0.8163117887885274,0.1435797556209063,0.5385185496528
0.1,8,HardGate,0.82262,0.8216004281942199,0.17738,0.53845
0.1,8,SoftProbabilityCircuit,0.82262,0.8216004281942199,0.1402168502344796,0.5387006157551999
0.1,9,HardGate,0.82224,0.8210131367528151,0.17776,0.54146
0.1,9,SoftProbabilityCircuit,0.82224,0.8210131367528151,0.14095663240215733,0.5407629541008
0.2,0,HardGate,0.69507,0.6933439986512598,0.30493,0.53717
0.2,0,SoftProbabilityCircuit,0.69507,0.6933439986512598,0.2036732641124656,0.5385621171456
0.2,1,HardGate,0.69527,0.6933555731575334,0.30473,0.5392
0.2,1,SoftProbabilityCircuit,0.69527,0.6933555731575334,0.20373000878503267,0.5389825583616
0.2,2,HardGate,0.69316,0.6911030253429441,0.30684,0.54111
0.2,2,SoftProbabilityCircuit,0.69316,0.6911030253429441,0.20453096645796173,0.5401226665728001
0.2,3,HardGate,0.6921,0.6903936556639915,0.3079,0.53738
0.2,3,SoftProbabilityCircuit,0.6921,0.6903936556639915,0.20496220843112206,0.5386573145088001
0.2,4,HardGate,0.69665,0.6948363574619325,0.30335,0.53881
0.2,4,SoftProbabilityCircuit,0.69665,0.6948363574619325,0.2036612105922806,0.5388828847104001
0.2,5,HardGate,0.69593,0.6940456253466198,0.30407,0.53962
0.2,5,SoftProbabilityCircuit,0.69593,0.6940456253466198,0.20363408484746956,0.5392358349312
0.2,6,HardGate,0.69426,0.6924099655597685,0.30574,0.53906
0.2,6,SoftProbabilityCircuit,0.69426,0.6924099655597685,0.20468677246984882,0.5391831563520001
0.2,7,HardGate,0.68973,0.6878373658898367,0.31027,0.53886
0.2,7,SoftProbabilityCircuit,0.68973,0.6878373658898367,0.20530131234390897,0.5384213400576
0.2,8,HardGate,0.69355,0.6915758003793853,0.30645,0.54002
0.2,8,SoftProbabilityCircuit,0.69355,0.6915758003793853,0.20366719482040943,0.5394145988352
0.2,9,HardGate,0.69603,0.693928406470163,0.30397,0.54139
0.2,9,SoftProbabilityCircuit,0.69603,0.693928406470163,0.20354159084444812,0.5402110908672001
