family,n_bits,seed,train_examples,method,holdout_accuracy,full_accuracy,exact_full_recovery,fit_seconds,gate_count
parity,8,0,128,GateBeam,0.53125,0.65625,False,0.8464548999909312,15.0
parity,8,0,128,MLP,0.328125,0.6640625,False,0.12878330005332828,
parity,8,1,128,GateBeam,0.265625,0.5,False,0.7675445999484509,13.0
parity,8,1,128,MLP,0.4609375,0.73046875,False,0.12251939997076988,
parity,8,2,128,GateBeam,0.4765625,0.609375,False,0.8061267000157386,14.0
parity,8,2,128,MLP,0.484375,0.7421875,False,0.12985619995743036,
parity,8,3,128,GateBeam,0.5703125,0.6875,False,0.8193403000477701,15.0
parity,8,3,128,MLP,0.40625,0.703125,False,0.1236996001098305,
parity,8,4,128,GateBeam,0.3828125,0.59375,False,0.7969507998786867,15.0
parity,8,4,128,MLP,0.484375,0.7421875,False,0.12337230006232858,
random_lut,8,0,128,GateBeam,0.4609375,0.6171875,False,0.7617711999919266,14.0
random_lut,8,0,128,MLP,0.4765625,0.73828125,False,0.12687529996037483,
random_lut,8,1,128,GateBeam,0.46875,0.640625,False,0.7376146998722106,14.0
random_lut,8,1,128,MLP,0.5078125,0.75390625,False,0.12182040000334382,
random_lut,8,2,128,GateBeam,0.515625,0.6640625,False,0.8651562000159174,15.0
random_lut,8,2,128,MLP,0.4609375,0.73046875,False,0.12970519997179508,
random_lut,8,3,128,GateBeam,0.46875,0.640625,False,0.7569895000196993,14.0
random_lut,8,3,128,MLP,0.5078125,0.75390625,False,0.143814800074324,
random_lut,8,4,128,GateBeam,0.5625,0.6796875,False,0.7568485999945551,15.0
random_lut,8,4,128,MLP,0.53125,0.765625,False,0.14882310014218092,
parity,10,0,512,GateBeam,0.390625,0.5,False,0.9796797998715192,14.0
parity,10,0,512,MLP,0.69921875,0.849609375,False,0.2398300999775529,
parity,10,1,512,GateBeam,0.4453125,0.53125,False,0.8955723999533802,14.0
parity,10,1,512,MLP,0.49609375,0.748046875,False,0.23616279987618327,
parity,10,2,512,GateBeam,0.380859375,0.5,False,0.9114270999561995,15.0
parity,10,2,512,MLP,0.884765625,0.9423828125,False,0.23450900008901954,
parity,10,3,512,GateBeam,0.390625,0.5,False,0.8501824999693781,15.0
parity,10,3,512,MLP,0.53125,0.765625,False,0.24426349997520447,
parity,10,4,512,GateBeam,0.41796875,0.5234375,False,0.8582025000359863,15.0
parity,10,4,512,MLP,0.798828125,0.8994140625,False,0.23140069982036948,
random_lut,10,0,512,GateBeam,0.490234375,0.576171875,False,0.9335676999762654,15.0
random_lut,10,0,512,MLP,0.505859375,0.7529296875,False,0.2286672000773251,
random_lut,10,1,512,GateBeam,0.51953125,0.5859375,False,0.8775592998135835,15.0
random_lut,10,1,512,MLP,0.5,0.75,False,0.2194157000631094,
random_lut,10,2,512,GateBeam,0.53125,0.58984375,False,0.9437583999242634,14.0
random_lut,10,2,512,MLP,0.501953125,0.7509765625,False,0.23008939996361732,
random_lut,10,3,512,GateBeam,0.501953125,0.583984375,False,0.8921505999751389,15.0
random_lut,10,3,512,MLP,0.484375,0.7421875,False,0.2451100000180304,
random_lut,10,4,512,GateBeam,0.53515625,0.591796875,False,0.9696212999988347,14.0
random_lut,10,4,512,MLP,0.517578125,0.7587890625,False,0.22924769995734096,
parity,12,0,2048,GateBeam,0.44140625,0.5,False,1.115021999925375,15.0
parity,12,0,2048,MLP,0.99609375,0.99609375,False,1.1478228999767452,
parity,12,1,2048,GateBeam,0.44140625,0.5,False,1.0915552999358624,15.0
parity,12,1,2048,MLP,0.9921875,0.99365234375,False,1.1166802002117038,
parity,12,2,2048,GateBeam,0.4404296875,0.5,False,1.1125543999951333,15.0
parity,12,2,2048,MLP,0.99609375,0.99755859375,False,1.1266179999802262,
parity,12,3,2048,GateBeam,0.43994140625,0.5,False,1.0450083001051098,15.0
parity,12,3,2048,MLP,0.966796875,0.9833984375,False,1.1424824998248369,
parity,12,4,2048,GateBeam,0.4384765625,0.5,False,1.17503309994936,15.0
parity,12,4,2048,MLP,0.99267578125,0.996337890625,False,1.245254100067541,
random_lut,12,0,2048,GateBeam,0.50634765625,0.54638671875,False,1.1364355999976397,14.0
random_lut,12,0,2048,MLP,0.5087890625,0.747802734375,False,1.1328759000170976,
random_lut,12,1,2048,GateBeam,0.5166015625,0.55419921875,False,1.0790422998834401,15.0
random_lut,12,1,2048,MLP,0.4931640625,0.737548828125,False,1.1602040999568999,
random_lut,12,2,2048,GateBeam,0.5087890625,0.54736328125,False,1.2217856999486685,15.0
random_lut,12,2,2048,MLP,0.5107421875,0.74755859375,False,1.1460926998406649,
random_lut,12,3,2048,GateBeam,0.51806640625,0.55029296875,False,1.1145625000353903,15.0
random_lut,12,3,2048,MLP,0.498046875,0.742919921875,False,1.127129899803549,
random_lut,12,4,2048,GateBeam,0.490234375,0.5380859375,False,1.0515592000447214,15.0
random_lut,12,4,2048,MLP,0.498046875,0.740234375,False,1.2127334999386221,
