n_bits,goal_depth,method,positive_accuracy,negative_accuracy,balanced_accuracy,median_pair_ms,mean_expansions,oracle_positive,oracle_negative
8,2,FixedK=4Planning,1.0,1.0,1.0,0.0764,72.0,True,True
8,2,LoopedPlanningFrontier,1.0,1.0,1.0,0.12764999999999999,136.0,True,True
8,4,FixedK=4Planning,1.0,1.0,1.0,0.1308,128.0,True,True
8,4,LoopedPlanningFrontier,1.0,1.0,1.0,0.1821,192.0,True,True
8,6,FixedK=4Planning,0.0,1.0,0.5,0.13095,128.0,True,True
8,6,LoopedPlanningFrontier,1.0,1.0,1.0,0.22820000000000001,248.0,True,True
10,2,FixedK=4Planning,1.0,1.0,1.0,0.1878,140.0,True,True
10,2,LoopedPlanningFrontier,1.0,1.0,1.0,0.5923499999999999,522.0,True,True
10,4,FixedK=4Planning,1.0,1.0,1.0,0.3476,260.0,True,True
10,4,LoopedPlanningFrontier,1.0,1.0,1.0,0.8165,642.0,True,True
10,6,FixedK=4Planning,0.0,1.0,0.5,0.3446,260.0,True,True
10,6,LoopedPlanningFrontier,1.0,1.0,1.0,1.0354,894.0,True,True
10,8,FixedK=4Planning,0.0,1.0,0.5,0.3406,260.0,True,True
10,8,LoopedPlanningFrontier,1.0,1.0,1.0,1.1267,1014.0,True,True
12,2,FixedK=4Planning,1.0,1.0,1.0,0.39625,244.0,True,True
12,2,LoopedPlanningFrontier,1.0,1.0,1.0,2.89105,2060.0,True,True
12,4,FixedK=4Planning,1.0,1.0,1.0,0.7808999999999999,464.0,True,True
12,4,LoopedPlanningFrontier,1.0,1.0,1.0,3.08155,2280.0,True,True
12,6,FixedK=4Planning,0.0,1.0,0.5,0.7493000000000001,464.0,True,True
12,6,LoopedPlanningFrontier,1.0,1.0,1.0,4.03785,3072.0,True,True
12,8,FixedK=4Planning,0.0,1.0,0.5,0.7130000000000001,464.0,True,True
12,8,LoopedPlanningFrontier,1.0,1.0,1.0,4.9323999999999995,3864.0,True,True
