width,layers,queries,method,accuracy,balanced_accuracy,positive_accuracy,negative_accuracy,median_query_ms,iqr_query_ms
8,2,400,OracleGate+BFS,1.0,1.0,1.0,1.0,0.0117,0.0011999999999999997
8,2,400,FixedK=4GateCircuit,1.0,1.0,1.0,1.0,0.0125,0.000700000000000001
8,4,400,OracleGate+BFS,1.0,1.0,1.0,1.0,0.021,0.0013000000000000025
8,4,400,FixedK=4GateCircuit,1.0,1.0,1.0,1.0,0.0228,0.0008249999999999993
8,6,400,OracleGate+BFS,1.0,1.0,1.0,1.0,0.0312,0.0016999999999999967
8,6,400,FixedK=4GateCircuit,0.5,0.5,0.0,1.0,0.0233,0.0011999999999999997
8,8,400,OracleGate+BFS,1.0,1.0,1.0,1.0,0.0424,0.0025249999999999925
8,8,400,FixedK=4GateCircuit,0.5,0.5,0.0,1.0,0.0242,0.0015000000000000013
8,12,400,OracleGate+BFS,1.0,1.0,1.0,1.0,0.0627,0.0020999999999999977
8,12,400,FixedK=4GateCircuit,0.5,0.5,0.0,1.0,0.0242,0.0009000000000000015
16,2,400,OracleGate+BFS,1.0,1.0,1.0,1.0,0.0126,0.001425000000000001
16,2,400,FixedK=4GateCircuit,1.0,1.0,1.0,1.0,0.0134,0.0008999999999999998
16,4,400,OracleGate+BFS,1.0,1.0,1.0,1.0,0.022449999999999998,0.001624999999999998
16,4,400,FixedK=4GateCircuit,1.0,1.0,1.0,1.0,0.0242,0.0011999999999999997
16,6,400,OracleGate+BFS,1.0,1.0,1.0,1.0,0.0325,0.0017249999999999974
16,6,400,FixedK=4GateCircuit,0.5,0.5,0.0,1.0,0.0242,0.0012250000000000004
16,8,400,OracleGate+BFS,1.0,1.0,1.0,1.0,0.0424,0.0017000000000000001
16,8,400,FixedK=4GateCircuit,0.5,0.5,0.0,1.0,0.0241,0.0010000000000000009
16,12,400,OracleGate+BFS,1.0,1.0,1.0,1.0,0.063,0.0025249999999999995
16,12,400,FixedK=4GateCircuit,0.5,0.5,0.0,1.0,0.0242,0.0011999999999999997
32,2,400,OracleGate+BFS,1.0,1.0,1.0,1.0,0.0134,0.008349999999999998
32,2,400,FixedK=4GateCircuit,1.0,1.0,1.0,1.0,0.0141,0.009099999999999999
32,4,400,OracleGate+BFS,1.0,1.0,1.0,1.0,0.03805,0.015825000000000002
32,4,400,FixedK=4GateCircuit,1.0,1.0,1.0,1.0,0.0417,0.017499999999999998
32,6,400,OracleGate+BFS,1.0,1.0,1.0,1.0,0.04875,0.021625
32,6,400,FixedK=4GateCircuit,0.5,0.5,0.0,1.0,0.0362,0.016625
32,8,400,OracleGate+BFS,1.0,1.0,1.0,1.0,0.045149999999999996,0.027899999999999994
32,8,400,FixedK=4GateCircuit,0.5,0.5,0.0,1.0,0.0256,0.015624999999999997
32,12,400,OracleGate+BFS,1.0,1.0,1.0,1.0,0.0677,0.04375000000000001
32,12,400,FixedK=4GateCircuit,0.5,0.5,0.0,1.0,0.0262,0.016524999999999998
