seed,objects,method,median_ms,iqr_ms,evaluated_pairs,candidate_ratio,valid_pairs,semantic_check
0,64,dense_boolean_gate,0.02285,0.0020000000000000018,4032,1.0,26,True
0,64,indexed_gate_filter,0.09065,0.005824999999999997,48,0.011904761904761904,26,True
0,128,dense_boolean_gate,0.0511,0.0008500000000000035,16256,1.0,50,True
0,128,indexed_gate_filter,0.17804999999999999,0.009175000000000016,100,0.006151574803149607,50,True
0,256,dense_boolean_gate,0.15055000000000002,0.0014000000000000123,65280,1.0,92,True
0,256,indexed_gate_filter,0.35205,0.0048000000000000265,186,0.002849264705882353,92,True
0,512,dense_boolean_gate,0.91445,0.006075000000000053,261632,1.0,216,True
0,512,indexed_gate_filter,0.7180500000000001,0.03249999999999997,380,0.0014524217221135029,216,True
0,1024,dense_boolean_gate,4.62395,0.4796750000000003,1047552,1.0,424,True
0,1024,indexed_gate_filter,1.4571,0.06777499999999992,826,0.000788505009775171,424,True
0,2048,dense_boolean_gate,20.84435,0.6393749999999976,4192256,1.0,816,True
0,2048,indexed_gate_filter,3.0310499999999996,0.18172500000000014,1568,0.0003740229604298974,816,True
1,64,dense_boolean_gate,0.021449999999999997,0.00027500000000000094,4032,1.0,18,True
1,64,indexed_gate_filter,0.0805,0.005499999999999991,36,0.008928571428571428,18,True
1,128,dense_boolean_gate,0.0513,0.0020499999999999963,16256,1.0,44,True
1,128,indexed_gate_filter,0.16344999999999998,0.002150000000000013,88,0.0054133858267716535,44,True
1,256,dense_boolean_gate,0.14355,0.0012000000000000066,65280,1.0,114,True
1,256,indexed_gate_filter,0.3375,0.013375000000000026,200,0.0030637254901960784,114,True
1,512,dense_boolean_gate,0.9244,0.09194999999999998,261632,1.0,204,True
1,512,indexed_gate_filter,0.6847000000000001,0.067025,410,0.0015670865949119373,204,True
1,1024,dense_boolean_gate,4.58995,0.4561249999999992,1047552,1.0,412,True
1,1024,indexed_gate_filter,1.4316,0.044725000000000126,758,0.0007235917644183773,412,True
1,2048,dense_boolean_gate,20.7577,2.0977999999999994,4192256,1.0,856,True
1,2048,indexed_gate_filter,2.9194,0.05184999999999995,1586,0.0003783165913531998,856,True
2,64,dense_boolean_gate,0.023399999999999997,0.0021749999999999964,4032,1.0,24,True
2,64,indexed_gate_filter,0.09115000000000001,0.004600000000000007,54,0.013392857142857142,24,True
2,128,dense_boolean_gate,0.0519,0.0018750000000000017,16256,1.0,60,True
2,128,indexed_gate_filter,0.1903,0.0015499999999999958,102,0.0062746062992125986,60,True
2,256,dense_boolean_gate,0.1543,0.0022000000000000075,65280,1.0,118,True
2,256,indexed_gate_filter,0.36865000000000003,0.003124999999999989,204,0.003125,118,True
2,512,dense_boolean_gate,0.984,0.08204999999999996,261632,1.0,202,True
2,512,indexed_gate_filter,0.71835,0.016750000000000043,348,0.0013301125244618395,202,True
2,1024,dense_boolean_gate,4.39105,0.49789999999999957,1047552,1.0,392,True
2,1024,indexed_gate_filter,1.4404,0.09350000000000014,762,0.0007274101906158358,392,True
2,2048,dense_boolean_gate,21.0668,0.4322000000000017,4192256,1.0,826,True
2,2048,indexed_gate_filter,2.87155,0.15327500000000027,1550,0.00036972932950659503,826,True
3,64,dense_boolean_gate,0.02305,0.001525000000000002,4032,1.0,20,True
3,64,indexed_gate_filter,0.0808,0.0022749999999999992,40,0.00992063492063492,20,True
3,128,dense_boolean_gate,0.0494,0.0005249999999999977,16256,1.0,52,True
3,128,indexed_gate_filter,0.1641,0.0037500000000000033,82,0.005044291338582677,52,True
3,256,dense_boolean_gate,0.14379999999999998,0.0013250000000000206,65280,1.0,112,True
3,256,indexed_gate_filter,0.33709999999999996,0.00385000000000002,200,0.0030637254901960784,112,True
3,512,dense_boolean_gate,0.93435,0.030550000000000077,261632,1.0,188,True
3,512,indexed_gate_filter,0.7014,0.032949999999999924,370,0.001414200097847358,188,True
3,1024,dense_boolean_gate,4.2443,0.45187500000000025,1047552,1.0,466,True
3,1024,indexed_gate_filter,1.436,0.038124999999999964,758,0.0007235917644183773,466,True
3,2048,dense_boolean_gate,20.5428,0.8168999999999969,4192256,1.0,806,True
3,2048,indexed_gate_filter,3.04925,0.15120000000000022,1528,0.0003644815583781143,806,True
4,64,dense_boolean_gate,0.02255,0.00047499999999999973,4032,1.0,20,True
4,64,indexed_gate_filter,0.0881,0.0006249999999999867,48,0.011904761904761904,20,True
4,128,dense_boolean_gate,0.052,0.00037500000000000033,16256,1.0,46,True
4,128,indexed_gate_filter,0.17955,0.0019500000000000073,92,0.005659448818897638,46,True
4,256,dense_boolean_gate,0.159,0.0010000000000000009,65280,1.0,84,True
4,256,indexed_gate_filter,0.3507,0.012224999999999986,180,0.0027573529411764708,84,True
4,512,dense_boolean_gate,0.9755499999999999,0.034399999999999986,261632,1.0,208,True
4,512,indexed_gate_filter,0.69415,0.022050000000000014,368,0.001406555772994129,208,True
4,1024,dense_boolean_gate,5.16685,0.22144999999999992,1047552,1.0,420,True
4,1024,indexed_gate_filter,1.5788,0.04640000000000022,786,0.0007503207478005865,420,True
4,2048,dense_boolean_gate,24.31845,2.2806749999999987,4192256,1.0,850,True
4,2048,indexed_gate_filter,3.40465,1.1073250000000003,1596,0.00038070194186614557,850,True
5,64,dense_boolean_gate,0.0213,0.0011500000000000017,4032,1.0,24,True
5,64,indexed_gate_filter,0.08845,0.0011999999999999927,56,0.013888888888888888,24,True
5,128,dense_boolean_gate,0.04955,0.00027499999999999747,16256,1.0,44,True
5,128,indexed_gate_filter,0.1677,0.0033249999999999946,90,0.005536417322834645,44,True
5,256,dense_boolean_gate,0.15139999999999998,0.0030000000000000027,65280,1.0,96,True
5,256,indexed_gate_filter,0.3444,0.012824999999999975,178,0.0027267156862745097,96,True
5,512,dense_boolean_gate,1.3338,0.057050000000000045,261632,1.0,200,True
5,512,indexed_gate_filter,0.7392,0.01815,394,0.0015059319960861056,200,True
5,1024,dense_boolean_gate,5.3594,0.3053499999999998,1047552,1.0,442,True
5,1024,indexed_gate_filter,1.58095,0.01750000000000007,798,0.0007617760263929619,442,True
5,2048,dense_boolean_gate,24.54835,1.929825000000001,4192256,1.0,788,True
5,2048,indexed_gate_filter,3.9961,1.7465249999999997,1510,0.00036018792745481194,788,True
6,64,dense_boolean_gate,0.033,0.0015249999999999986,4032,1.0,20,True
6,64,indexed_gate_filter,0.1252,0.01762500000000003,44,0.010912698412698412,20,True
6,128,dense_boolean_gate,0.08035,0.000899999999999998,16256,1.0,54,True
6,128,indexed_gate_filter,0.174,0.006975000000000009,90,0.005536417322834645,54,True
6,256,dense_boolean_gate,0.34645000000000004,0.033999999999999975,65280,1.0,106,True
6,256,indexed_gate_filter,0.35914999999999997,0.02127499999999999,176,0.002696078431372549,106,True
6,512,dense_boolean_gate,0.97685,0.07455,261632,1.0,220,True
6,512,indexed_gate_filter,0.7357,0.054200000000000026,372,0.001421844422700587,220,True
6,1024,dense_boolean_gate,4.862500000000001,0.11480000000000068,1047552,1.0,406,True
