task_id,neighborhood,offset_count,exception_count,model_description_bits,wrapper_description_bits,total_description_bits,binary4_gate_upper_bound,onehot_gate_upper_bound,binary4_state_bits_per_cell,onehot_state_bits_per_cell,onehot_boundary_input_states,test_cells,binary4_dynamic_gate_upper_bound,onehot_dynamic_gate_upper_bound,compiled_checked,compiled_equivalent,binary4_invalid_rate,onehot_invalid_rate,direct_median_seconds,direct_p95_seconds,binary4_median_seconds,binary4_p95_seconds,onehot_median_seconds,onehot_p95_seconds,compile_skip_reason,dataset,split
009d5c81,moore_r2,25,132,13906,8,13914,26483,7260,4,10,11,196,5190668,1422960,1.0,1.0,0.0,0.0,0.000608192989602685,0.0006457439158111811,0.0052050279919058084,0.0052466620691120625,0.006804698030464351,0.006827033939771354,,ARC-AGI-1,evaluation
0607ce86,moore_r1,9,115,4678,8,4686,8735,4485,4,10,11,528,4612080,2368080,1.0,1.0,0.0,0.0,0.0010398169979453087,0.0010439000325277448,0.005716903950087726,0.005731896962970495,0.004542825976386666,0.00456560798920691,,ARC-AGI-1,evaluation
0becf7df,moore_r1,9,57,2357,8,2365,4272,2223,4,10,11,100,427200,222300,1.0,1.0,0.0,0.0,0.00021863705478608608,0.00023144995793700218,0.002023549983277917,0.0020576659590005875,0.001678258995525539,0.0016810690285637975,,ARC-AGI-1,evaluation
12eac192,von_neumann_r1,5,38,962,8,970,1802,1330,4,10,11,64,115328,85120,1.0,1.0,0.0,0.0,0.0001294650137424469,0.0001410599797964096,0.0012875699903815985,0.0013141300296410918,0.0008970750495791435,0.0009139090543612838,,ARC-AGI-1,evaluation
137f0df0,von_neumann_r2,13,43,2509,8,2517,4568,1849,4,10,11,100,456800,184900,1.0,1.0,0.0,0.0,0.00025773595552891493,0.0002718009054660797,0.0015721899690106511,0.0016746550099924207,0.001480674953199923,0.0015083729522302747,,ARC-AGI-1,evaluation
14754a24,von_neumann_r2,13,38,2229,8,2237,3886,1634,4,10,11,361,1402846,589874,1.0,1.0,0.0,0.0,0.0008130960632115602,0.0008353870362043381,0.0018869759514927864,0.0019335689721629024,0.0016315700486302376,0.0016530180582776666,,ARC-AGI-1,evaluation
15113be4,moore_r2,25,30,3293,8,3301,5662,1650,4,10,11,529,2995198,872850,1.0,1.0,0.0,0.0,0.0015889010392129421,0.0016048140823841095,0.001821255893446505,0.0018637710018083453,0.002223467919975519,0.0022703170543536544,,ARC-AGI-1,evaluation
15663ba9,moore_r2,25,64,6831,8,6839,12616,3520,4,10,11,240,3027840,844800,1.0,1.0,0.0,0.0,0.0007503069937229156,0.000765359029173851,0.002737313974648714,0.0027470189379528165,0.003502907929942012,0.003515852033160627,,ARC-AGI-1,evaluation
17cae0c1,von_neumann_r2,13,101,5758,8,5766,10144,4343,4,10,11,27,273888,117261,1.0,1.0,0.0,0.0,9.881204459816217e-05,0.00011687399819493294,0.0032334340503439307,0.003259815974161029,0.0032011920120567083,0.0032357939053326845,,ARC-AGI-1,evaluation
18419cfa,moore_r2,25,22,2461,8,2469,4513,1210,4,10,11,728,3285464,880880,1.0,1.0,0.0,0.0,0.0021316739730536938,0.002174889901652932,0.0016391470562666655,0.0017110990593209863,0.0019709300249814987,0.0020108199678361416,,ARC-AGI-1,evaluation
1acc24af,von_neumann_r2,13,35,2061,8,2069,3646,1505,4,10,11,144,525024,216720,1.0,1.0,0.0,0.0,0.00033725006505846977,0.0004534429172053933,0.0013706659665331244,0.0034615449840202928,0.0012815429363399744,0.002153779030777514,,ARC-AGI-1,evaluation
1c0d0a4b,von_neumann_r2,13,117,6654,8,6662,12888,5031,4,10,11,169,2178072,850239,1.0,1.0,0.0,0.0,0.00040737399831414223,0.0004183420678600669,0.004434655071236193,0.004480299074202776,0.004113501054234803,0.004227687022648752,,ARC-AGI-1,evaluation
1e97544e,von_neumann_r2,13,157,8897,8,8905,16931,6751,4,10,11,529,8956499,3571279,1.0,1.0,0.0,0.0,0.0012058870634064078,0.0012224969686940312,0.008045963011682034,0.008159136981703341,0.007341524004004896,0.00737765699159354,,ARC-AGI-1,evaluation
25094a63,moore_r1,9,127,5161,8,5169,9107,4953,4,10,11,900,8196300,4457700,1.0,1.0,0.0,0.0,0.0017122660065069795,0.0017201610608026385,0.008435897994786501,0.008517242968082428,0.0062458820175379515,0.006311665987595916,,ARC-AGI-1,evaluation
2a5f8217,von_neumann_r2,13,31,1837,8,1845,3377,1333,4,10,11,169,570713,225277,1.0,1.0,0.0,0.0,0.00039116397965699434,0.00040173798333853483,0.0012733869953081012,0.0012862790608778596,0.0011742239585146308,0.0012155440635979176,,ARC-AGI-1,evaluation
319f2597,moore_r1,9,187,7561,8,7569,12946,7293,4,10,11,400,5178400,2917200,1.0,1.0,0.0,0.0,0.0007956130430102348,0.0008073640055954456,0.008610851014964283,0.008750677923671901,0.006529195001348853,0.006580329965800047,,ARC-AGI-1,evaluation
31adaf00,moore_r2,25,72,7663,8,7671,13536,3960,4,10,11,100,1353600,396000,1.0,1.0,0.0,0.0,0.0003308280138298869,0.000344729982316494,0.0026074110064655542,0.0026170340133830905,0.0034971439745277166,0.003516832017339766,,ARC-AGI-1,evaluation
32e9702f,center_wire_+0_+1,2,7,113,8,121,181,224,4,10,11,100,18100,22400,1.0,1.0,0.0,0.0,0.0001673760125413537,0.0001809729728847742,0.0003004469908773899,0.0003197439946234226,0.00021011196076869965,0.00022392300888895988,,ARC-AGI-1,evaluation
3391f8c0,moore_r2,25,88,9327,8,9335,17799,4840,4,10,11,154,2741046,745360,1.0,1.0,0.0,0.0,0.00047711096704006195,0.0004919229540973902,0.0033740380313247442,0.0034084490034729242,0.004468641011044383,0.0044944590190425515,,ARC-AGI-1,evaluation
4364c1c4,moore_r2,25,56,5998,8,6006,9861,3080,4,10,11,182,1794702,560560,1.0,1.0,0.0,0.0,0.0005503599531948566,0.0005627580685541034,0.0022934050066396594,0.002325634006410837,0.002945021027699113,0.0029562190175056458,,ARC-AGI-1,evaluation
45737921,von_neumann_r1,5,72,1779,8,1787,3367,2520,4,10,11,72,242424,181440,1.0,1.0,0.0,0.0,0.00014429399743676186,0.00015922309830784798,0.002395680989138782,0.0024429389741271734,0.0016417820006608963,0.001680891029536724,,ARC-AGI-1,evaluation
4b6b68e5,moore_r2,25,178,18690,8,18698,35709,9790,4,10,11,624,22282416,6108960,1.0,1.0,0.0,0.0,0.001846785075031221,0.0018801200203597546,0.01032821403350681,0.010371059062890708,0.012610104982741177,0.01267209998331964,,ARC-AGI-1,evaluation
4cd1b7b2,von_neumann_r1,5,16,433,8,441,757,560,4,10,11,16,12112,8960,1.0,1.0,0.0,0.0,5.0193979404866695e-05,6.0320948250591755e-05,0.000546869938261807,0.0005583729362115264,0.00039910501800477505,0.0004101910162717104,,ARC-AGI-1,evaluation
4ff4c9da,moore_r2,25,28,3085,8,3093,5300,1540,4,10,11,729,3863700,1122660,1.0,1.0,0.0,0.0,0.0021155329886823893,0.0021560268942266703,0.0020463319960981607,0.002056850935332477,0.002388325985521078,0.002437541028484702,,ARC-AGI-1,evaluation
50f325b5,moore_r1,9,35,1477,8,1485,2447,1365,4,10,11,272,665584,371280,1.0,1.0,0.0,0.0,0.0005215820856392384,0.000540458015166223,0.0015657070325687528,0.0016010759864002466,0.0012194759910926223,0.0012377339880913496,,ARC-AGI-1,evaluation
575b1a71,moore_r2,25,29,3189,8,3197,4866,1595,4,10,11,100,486600,159500,1.0,1.0,0.0,0.0,0.0003240689402446151,0.0003358799731358886,0.0011229870142415166,0.0011488230666145682,0.001483856001868844,0.0014983320143073797,,ARC-AGI-1,evaluation
58743b76,moore_r2,25,20,2253,8,2261,3992,1100,4,10,11,196,782432,215600,1.0,1.0,0.0,0.0,0.0005921899573877454,0.0006114220013841987,0.000929345958866179,0.0009680300718173385,0.00116419093683362,0.0011956070084124804,,ARC-AGI-1,evaluation
5b692c0f,von_neumann_r2,13,34,2005,8,2013,3684,1462,4,10,11,672,2475648,982464,1.0,1.0,0.0,0.0,0.0014846129342913628,0.0015016900142654777,0.0021816729567945004,0.0022250619949772954,0.0019034279976040125,0.001941025024279952,,ARC-AGI-1,evaluation
626c0bcc,moore_r2,25,47,5062,8,5070,8991,2585,4,10,11,49,440559,126665,1.0,1.0,0.0,0.0,0.00020463892724364996,0.0002120869467034936,0.0016183570260182023,0.0016544490354135633,0.0022508889669552445,0.0022741040447726846,,ARC-AGI-1,evaluation
66e6c45b,moore_r1,9,16,716,8,724,1189,624,4,10,11,16,19024,9984,1.0,1.0,0.0,0.0,5.790300201624632e-05,6.996910087764263e-05,0.0005585229955613613,0.0005758330225944519,0.0004789460217580199,0.0004936680197715759,,ARC-AGI-1,evaluation
6ad5bdfd,von_neumann_r2,13,60,3461,8,3469,6412,2580,4,10,11,100,641200,258000,1.0,1.0,0.0,0.0,0.0002458110684528947,0.0002623640466481447,0.002142513985745609,0.002149545936845243,0.0020310550462454557,0.002050645067356527,,ARC-AGI-1,evaluation
6df30ad6,von_neumann_r2,13,85,4862,8,4870,8990,3655,4,10,11,100,899000,365500,1.0,1.0,0.0,0.0,0.00025211204774677753,0.00026381295174360275,0.002974512055516243,0.0029793860157951713,0.002825247938744724,0.002850965945981443,,ARC-AGI-1,evaluation
6ea4a07e,moore_r1,9,52,2157,8,2165,3832,2028,4,10,11,18,68976,36504,1.0,1.0,0.0,0.0,9.450595825910568e-05,0.00011145696043968201,0.0032725490164011717,0.0032819940242916346,0.0027760369703173637,0.0028165699914097786,,ARC-AGI-1,evaluation
712bf12e,moore_r2,25,109,11511,8,11519,21548,5995,4,10,11,169,3641612,1013155,1.0,1.0,0.0,0.0,0.0005276440642774105,0.0005464110290631652,0.004214703920297325,0.004253160092048347,0.005505609908141196,0.0055482350289821625,,ARC-AGI-1,evaluation
782b5218,von_neumann_r2,13,132,7497,8,7505,13738,5676,4,10,11,100,1373800,567600,1.0,1.0,0.0,0.0,0.00025928299874067307,0.0002696519950404763,0.004542847047559917,0.004607615061104298,0.004341942956671119,0.004347536945715547,,ARC-AGI-1,evaluation
79369cc6,moore_r1,9,17,756,8,764,1258,663,4,10,11,240,301920,159120,1.0,1.0,0.0,0.0,0.00046727899461984634,0.00048068491742014885,0.0008658330189064145,0.0023463970283046365,0.000637038960121572,0.000697192968800664,,ARC-AGI-1,evaluation
7e02026e,von_neumann_r2,13,39,2285,8,2293,4289,1677,4,10,11,144,617616,241488,1.0,1.0,0.0,0.0,0.0003406399628147483,0.00035308499354869127,0.0015426980098709464,0.001596246031112969,0.0014143850421532989,0.0014271090039983392,,ARC-AGI-1,evaluation
7ee1c6ea,von_neumann_r1,5,64,1587,8,1595,2901,2240,4,10,11,100,290100,224000,1.0,1.0,0.0,0.0,0.00018611398991197348,0.00020084495190531015,0.0022173820761963725,0.0022267630556598306,0.0015069380169734359,0.0015230539720505476,,ARC-AGI-1,evaluation
84db8fc4,moore_r1,9,165,6681,8,6689,12447,6435,4,10,11,100,1244700,643500,1.0,1.0,0.0,0.0,0.00022119900677353144,0.0002416740171611309,0.005604322999715805,0.0056399269960820675,0.004605734953656793,0.004625885980203748,,ARC-AGI-1,evaluation
84f2aca1,von_neumann_r1,5,16,433,8,441,764,560,4,10,11,156,119184,87360,1.0,1.0,0.0,0.0,0.00027093198150396347,0.0002835980849340558,0.0006463510217145085,0.0006618039915338159,0.0004711860092356801,0.00048824294935911894,,ARC-AGI-1,evaluation
896d5239,von_neumann_r2,13,49,2845,8,2853,5147,2107,4,10,11,270,1389690,568890,1.0,1.0,0.0,0.0,0.0006118749734014273,0.000639252015389502,0.0022326329490169883,0.0022855360293760896,0.0019693030044436455,0.0020022079115733504,,ARC-AGI-1,evaluation
