task_id,neighborhood,offset_count,exception_count,model_description_bits,wrapper_description_bits,total_description_bits,binary4_gate_upper_bound,onehot_gate_upper_bound,binary4_state_bits_per_cell,onehot_state_bits_per_cell,onehot_boundary_input_states,test_cells,binary4_dynamic_gate_upper_bound,onehot_dynamic_gate_upper_bound,compiled_checked,compiled_equivalent,binary4_invalid_rate,onehot_invalid_rate,direct_median_seconds,direct_p95_seconds,binary4_median_seconds,binary4_p95_seconds,onehot_median_seconds,onehot_p95_seconds,compile_skip_reason,dataset,split
025d127b,von_neumann_r1,5,15,409,8,417,733,525,4,10,11,100,73300,52500,1.0,1.0,0.0,0.0,0.00018624099902808666,0.00019740208517760038,0.0005728160031139851,0.000606287969276309,0.00041959097143262625,0.00043997797183692455,,ARC-AGI-1,training
09629e4f,von_neumann_r2,13,226,12761,8,12769,22476,9718,4,10,11,121,2719596,1175878,1.0,1.0,0.0,0.0,0.0003048590151593089,0.00032913510221987963,0.007765850983560085,0.007872708956710994,0.007478608982637525,0.007501234067603946,,ARC-AGI-1,training
0962bcdd,moore_r2,25,43,4646,8,4654,8504,2365,4,10,11,144,1224576,340560,1.0,1.0,0.0,0.0,0.0004489750135689974,0.000459585920907557,0.0016885539516806602,0.0017877599457278848,0.002203345065936446,0.0022129269782453775,,ARC-AGI-1,training
0ca9ddb6,moore_r1,9,12,555,8,563,968,468,4,10,11,81,78408,37908,1.0,1.0,0.0,0.0,0.00017988006584346294,0.00018792692571878433,0.0004850560799241066,0.0004983010003343225,0.00041048298589885235,0.0004251040518283844,,ARC-AGI-1,training
0d3d703e,center,1,8,84,8,92,148,248,4,10,11,9,1332,2232,1.0,1.0,0.0,0.0,3.2773008570075035e-05,4.244898445904255e-05,0.0002986419713124633,0.0003339779796078801,0.0001939120702445507,0.00020629505161195993,,ARC-AGI-1,training
0dfd9992,moore_r2,25,179,18794,8,18802,33820,9845,4,10,11,441,14914620,4341645,1.0,1.0,0.0,0.0,0.0013439529575407505,0.0013539450010284781,0.008826255914755166,0.008865472045727074,0.01075308199506253,0.010804487043060362,,ARC-AGI-1,training
11852cab,moore_r1,9,9,435,8,443,738,351,4,10,11,100,73800,35100,1.0,1.0,0.0,0.0,0.00021103001199662685,0.00021898397244513035,0.00038730702362954617,0.0004175429930910468,0.00033779197838157415,0.00034675898496061563,,ARC-AGI-1,training
150deff5,moore_r2,25,56,5998,8,6006,10546,3080,4,10,11,88,928048,271040,1.0,1.0,0.0,0.0,0.0002934710355475545,0.0003028849605470896,0.0020108750322833657,0.00205217394977808,0.0026990239275619388,0.0027149319648742676,,ARC-AGI-1,training
1e0a9b12,von_neumann_r2,13,20,1220,8,1228,2073,860,4,10,11,25,51825,21500,1.0,1.0,0.0,0.0,8.510309271514416e-05,9.589106775820255e-05,0.0007287140469998121,0.000769756967201829,0.0006861650617793202,0.000697238021530211,,ARC-AGI-1,training
22168020,moore_r2,25,42,4542,8,4550,8418,2310,4,10,11,100,841800,231000,1.0,1.0,0.0,0.0,0.00032511597964912653,0.0003386579919606447,0.0015624500811100006,0.0016509749693796039,0.0020695439307019114,0.0021229470148682594,,ARC-AGI-1,training
228f6490,moore_r2,25,56,5998,8,6006,10156,3080,4,10,11,100,1015600,308000,1.0,1.0,0.0,0.0,0.0003255939809605479,0.00033564004115760326,0.0020396639592945576,0.0020813680021092296,0.0027123449835926294,0.002742917975410819,,ARC-AGI-1,training
25d8a9c8,center_wire_+0_-1,2,21,282,8,290,514,672,4,10,11,9,4626,6048,1.0,1.0,0.0,0.0,3.5236007533967495e-05,4.687102045863867e-05,0.0006839599227532744,0.0007422009948641062,0.000416586990468204,0.0004295490216463804,,ARC-AGI-1,training
25ff71a9,center_wire_-1_+0,2,5,86,8,94,131,160,4,10,11,18,2358,2880,1.0,1.0,0.0,0.0,6.502505857497454e-05,7.922493387013674e-05,0.00042341300286352634,0.00046098604798316956,0.0003027321072295308,0.00033197097945958376,,ARC-AGI-1,training
29623171,moore_r2,25,48,5166,8,5174,8729,2640,4,10,11,121,1056209,319440,1.0,1.0,0.0,0.0,0.00038160907570272684,0.00039858603850007057,0.001814501010812819,0.0019184970296919346,0.0024075719993561506,0.0024173640413209796,,ARC-AGI-1,training
29ec7d0e,von_neumann_r2,13,156,8841,8,8849,16690,6708,4,10,11,324,5407560,2173392,1.0,1.0,0.0,0.0,0.000731018022634089,0.0007652899948880076,0.006753968074917793,0.006900345906615257,0.006046016933396459,0.006069117924198508,,ARC-AGI-1,training
2bcee788,moore_r2,25,195,20458,8,20466,39524,10725,4,10,11,100,3952400,1072500,1.0,1.0,0.0,0.0,0.00035444903187453747,0.0003721619723364711,0.006846352014690638,0.0068778470158576965,0.009245422086678445,0.009269329020753503,,ARC-AGI-1,training
31aa019c,von_neumann_r2,13,79,4526,8,4534,8466,3397,4,10,11,100,846600,339700,1.0,1.0,0.0,0.0,0.00024868303444236517,0.0002738969633355737,0.0027957219863310456,0.0028462629998102784,0.0026460830122232437,0.0026657989947125316,,ARC-AGI-1,training
