task_id,selection_status,candidates_evaluated,exact_training_candidates,selection_seconds,program,program_kind,description_bits,wrapper_description_bits,total_description_bits,onehot_gates_per_cell_upper,outcome,labeled_pairs,pair_exact_count,pair_exact_rate,task_exact,matching_shape_pairs,cell_accuracy,scored_cells,mean_steps,max_steps,stop_reasons,dynamic_gate_upper_bound,local_dynamic_gate_upper_bound,fixed_point_detection_gate_upper_bound,median_seconds,p95_seconds,dataset,dataset_commit,split,task_index
007bbfb7,unsupported_shape_change,0,0,3.31108458340168e-06,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,1
00d62c1b,no_exact_program,73,0,0.004844579030759633,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,2
017c7c7b,unsupported_shape_change,0,0,1.7919810488820076e-06,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,3
025d127b,no_exact_program,49,0,0.0007288529304787517,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,4
045e512c,no_exact_program,49,0,0.0008367070695385337,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,5
0520fde7,unsupported_shape_change,0,0,1.2440141290426254e-06,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,6
05269061,no_exact_program,49,0,0.0007075850153341889,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,7
05f2a901,no_exact_program,49,0,0.0007247870089486241,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,8
06df4c85,no_exact_program,49,0,0.0008320920169353485,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,9
08ed6ac7,no_exact_program,49,0,0.000936634954996407,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,10
09629e4f,no_exact_program,49,0,0.0007712249644100666,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,11
0962bcdd,no_exact_program,49,0,0.0007203780114650726,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,12
0a938d79,no_exact_program,49,0,0.0007973960600793362,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,13
0b148d64,unsupported_shape_change,0,0,1.2479722499847412e-06,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,14
0ca9ddb6,no_exact_program,49,0,0.0007151549216359854,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,15
0d3d703e,no_exact_program,49,0,0.0007004659855738282,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,16
0dfd9992,no_exact_program,49,0,0.0008339739870280027,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,17
0e206a2e,no_exact_program,49,0,0.0007616860093548894,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,18
10fcaaa3,unsupported_shape_change,0,0,1.1239899322390556e-06,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,19
11852cab,no_exact_program,49,0,0.0007184380665421486,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,20
1190e5a7,unsupported_shape_change,0,0,1.350068487226963e-06,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,21
137eaa0f,unsupported_shape_change,0,0,1.1200318112969398e-06,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,22
150deff5,no_exact_program,49,0,0.0007178729865700006,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,23
178fcbfb,no_exact_program,49,0,0.0007165600545704365,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,24
1a07d186,no_exact_program,49,0,0.0007559749064967036,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,25
1b2d62fb,unsupported_shape_change,0,0,1.2909295037388802e-06,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,26
1b60fb0c,no_exact_program,73,0,0.00477106508333236,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,27
1bfc4729,no_exact_program,49,0,0.0007146010175347328,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,28
1c786137,unsupported_shape_change,0,0,1.1760275810956955e-06,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,29
1caeab9d,no_exact_program,49,0,0.0007307019550353289,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,30
1cf80156,unsupported_shape_change,0,0,1.1849915608763695e-06,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,31
1e0a9b12,no_exact_program,49,0,0.0007007339736446738,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,32
1e32b0e9,no_exact_program,49,0,0.0007761179003864527,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,33
1f0c79e5,no_exact_program,49,0,0.000721300020813942,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,34
1f642eb9,no_exact_program,49,0,0.0007169110467657447,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,35
1f85a75f,unsupported_shape_change,0,0,1.2300442904233932e-06,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,36
1f876c06,no_exact_program,49,0,0.0007399891037493944,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,37
1fad071e,unsupported_shape_change,0,0,1.235981471836567e-06,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,38
2013d3e2,unsupported_shape_change,0,0,9.700888767838478e-07,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,39
2204b7a8,no_exact_program,49,0,0.0007317779818549752,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,40
22168020,no_exact_program,49,0,0.0007273679366335273,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,41
22233c11,no_exact_program,73,0,0.004858906962908804,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,42
2281f1f4,no_exact_program,73,0,0.005044270888902247,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,43
228f6490,no_exact_program,49,0,0.0007211850024759769,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,44
22eb0ac0,no_exact_program,49,0,0.0007118029752746224,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,45
234bbc79,unsupported_shape_change,0,0,1.252046786248684e-06,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,46
