group,metric,numerator,denominator,value
sparse_table/all_tasks,task_exact_pass_at_1,12.0,400.0,0.03
sparse_table/all_tasks,task_exact_pass_at_2,12.0,400.0,0.03
sparse_table/all_tasks,identity_task_exact,0.0,400.0,0.0
sparse_table/all_tasks,solver_coverage,114.0,400.0,0.285
sparse_table/all_tasks,posthoc_oracle_local_representability,108.0,400.0,0.27
sparse_table/all_pairs,pair_exact_pass_at_1,14.0,416.0,0.03365384615384615
sparse_table/all_pairs,pair_exact_pass_at_2,14.0,416.0,0.03365384615384615
sparse_table/supported_tasks,task_exact_pass_at_1,12.0,114.0,0.10526315789473684
sparse_table/supported_tasks,task_exact_pass_at_2,12.0,114.0,0.10526315789473684
sparse_table/compiled_tasks,semantic_equivalence,114.0,114.0,1.0
sparse_table/refusal_taxonomy,no_deterministic_local_rule,148.0,400.0,0.37
sparse_table/refusal_taxonomy,selected,114.0,400.0,0.285
sparse_table/refusal_taxonomy,unsupported_shape_change,138.0,400.0,0.345
program_all_tasks,task_exact_pass_at_1,6.0,400.0,0.015
program_all_tasks,solver_coverage,6.0,400.0,0.015
program_all_pairs,pair_exact_pass_at_1,7.0,416.0,0.016826923076923076
program_supported_tasks,task_exact_pass_at_1,6.0,6.0,1.0
program_refusal_taxonomy,no_exact_program,256.0,400.0,0.64
program_refusal_taxonomy,selected,6.0,400.0,0.015
program_refusal_taxonomy,unsupported_shape_change,138.0,400.0,0.345
two_family_lower_bound,task_exact_pass_at_2,14.0,400.0,0.035
