task_id,selection_status,demonstration_pairs,test_pairs,candidates_considered,exact_training_candidates,collision_candidates,selection_seconds,lodo_pair_exact,lodo_cell_accuracy,novel_test_colors,novel_test_color_count,identity_pair_exact_rate,identity_task_exact,posthoc_oracle_local_exists,posthoc_oracle_neighborhood,posthoc_oracle_model_bits,outcome,selected_neighborhood,offset_count,exception_count,model_description_bits,wrapper_description_bits,total_description_bits,mean_test_support,min_test_support,labeled_pairs,pair_exact_count,pair_exact_rate,task_exact,pair_exact_count_pass_at_2,pair_exact_rate_pass_at_2,task_exact_pass_at_2,second_neighborhood,matching_shape_pairs,cell_accuracy,scored_cells,compiled_checked,compiled_equivalent,binary4_invalid_rate,onehot_invalid_rate,dataset,dataset_commit,split,task_index
007bbfb7,unsupported_shape_change,5,1,29,0,0,1.078401692211628e-05,,,,0,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,1
00d62c1b,no_deterministic_local_rule,5,1,29,0,29,0.03958353807684034,,,,0,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,2
017c7c7b,unsupported_shape_change,3,1,29,0,0,2.8460053727030754e-06,,,,0,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,3
025d127b,selected,2,1,29,4,25,0.016896722023375332,0.0,0.8585858585858586,4,1,0.0,0.0,1.0,von_neumann_r1,553.0,predicted_incorrect,von_neumann_r1,5,15,409.0,8.0,417.0,0.5,0.5,1,0,0.0,0.0,0,0.0,0.0,,1,0.88,100,1.0,1.0,0.0,0.0,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,4
045e512c,no_deterministic_local_rule,3,1,29,0,29,0.0586827500956133,,,,0,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,5
0520fde7,unsupported_shape_change,3,1,29,0,0,1.7880229279398918e-06,,,,0,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,6
05269061,no_deterministic_local_rule,3,1,29,0,29,0.008829443017020822,,,,0,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,7
05f2a901,no_deterministic_local_rule,3,1,29,0,29,0.016406208975240588,,,,0,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,8
06df4c85,no_deterministic_local_rule,3,1,29,0,29,0.06598755193408579,,,,0,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,9
08ed6ac7,no_deterministic_local_rule,2,1,29,0,29,0.008667650981806219,,,,0,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,10
09629e4f,selected,4,1,29,2,27,0.04127377609256655,0.0,0.5351239669421488,,0,0.0,0.0,1.0,von_neumann_r2,15898.0,predicted_incorrect,von_neumann_r2,13,226,12761.0,8.0,12769.0,0.0,0.0,1,0,0.0,0.0,0,0.0,0.0,,1,0.5371900826446281,121,1.0,1.0,0.0,0.0,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,11
0962bcdd,selected,2,1,29,1,28,0.017080905963666737,0.0,0.8333333333333334,3;4,2,0.0,0.0,1.0,moore_r2,6935.0,predicted_incorrect,moore_r2,25,43,4646.0,8.0,4654.0,0.4166666666666667,0.4166666666666667,1,0,0.0,0.0,0,0.0,0.0,,1,0.8333333333333334,144,1.0,1.0,0.0,0.0,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,12
0a938d79,no_deterministic_local_rule,4,1,29,0,29,0.03782063606195152,,,,0,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,13
0b148d64,unsupported_shape_change,3,1,29,0,0,5.258945748209953e-06,,,,0,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,14
