group,metric,numerator,denominator,value
sparse_table/all_tasks,task_exact_pass_at_1,0.0,120.0,0.0
sparse_table/all_tasks,task_exact_pass_at_2,0.0,120.0,0.0
sparse_table/all_tasks,identity_task_exact,0.0,120.0,0.0
sparse_table/all_tasks,solver_coverage,18.0,120.0,0.15
sparse_table/all_tasks,posthoc_oracle_local_representability,12.0,120.0,0.1
sparse_table/all_pairs,pair_exact_pass_at_1,0.0,167.0,0.0
sparse_table/all_pairs,pair_exact_pass_at_2,0.0,167.0,0.0
sparse_table/supported_tasks,task_exact_pass_at_1,0.0,18.0,0.0
sparse_table/supported_tasks,task_exact_pass_at_2,0.0,18.0,0.0
sparse_table/compiled_tasks,semantic_equivalence,18.0,18.0,1.0
sparse_table/refusal_taxonomy,no_deterministic_local_rule,63.0,120.0,0.525
sparse_table/refusal_taxonomy,selected,18.0,120.0,0.15
sparse_table/refusal_taxonomy,unsupported_shape_change,39.0,120.0,0.325
program_all_tasks,task_exact_pass_at_1,0.0,120.0,0.0
program_all_tasks,solver_coverage,0.0,120.0,0.0
program_all_pairs,pair_exact_pass_at_1,0.0,167.0,0.0
program_supported_tasks,task_exact_pass_at_1,0.0,0.0,
program_refusal_taxonomy,no_exact_program,81.0,120.0,0.675
program_refusal_taxonomy,unsupported_shape_change,39.0,120.0,0.325
two_family_lower_bound,task_exact_pass_at_2,0.0,120.0,0.0
