task_id,selection_status,demonstration_pairs,test_pairs,candidates_considered,exact_training_candidates,collision_candidates,selection_seconds,lodo_pair_exact,lodo_cell_accuracy,novel_test_colors,novel_test_color_count,identity_pair_exact_rate,identity_task_exact,posthoc_oracle_local_exists,posthoc_oracle_neighborhood,posthoc_oracle_model_bits,outcome,selected_neighborhood,offset_count,exception_count,model_description_bits,wrapper_description_bits,total_description_bits,mean_test_support,min_test_support,labeled_pairs,pair_exact_count,pair_exact_rate,task_exact,pair_exact_count_pass_at_2,pair_exact_rate_pass_at_2,task_exact_pass_at_2,second_neighborhood,matching_shape_pairs,cell_accuracy,scored_cells,compiled_checked,compiled_equivalent,binary4_invalid_rate,onehot_invalid_rate,dataset,dataset_commit,split,task_index
0934a4d8,unsupported_shape_change,4,1,29,0,0,1.0311952792108059e-05,,,,0,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-2,f3283f727488ad98fe575ea6a5ac981e4a188e49,evaluation,1
135a2760,selected,2,1,29,4,25,0.05190477194264531,0.0,0.9810246679316889,,0,0.0,0.0,1.0,moore_r1,836.0,predicted_incorrect,von_neumann_r1,5,10,288.0,8.0,296.0,0.0,0.0,1,0,0.0,0.0,0,0.0,0.0,,1,0.9892984542211652,841,1.0,1.0,0.0,0.0,ARC-AGI-2,f3283f727488ad98fe575ea6a5ac981e4a188e49,evaluation,2
136b0064,unsupported_shape_change,3,1,29,0,0,2.5079352781176567e-06,,,,0,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-2,f3283f727488ad98fe575ea6a5ac981e4a188e49,evaluation,3
13e47133,no_deterministic_local_rule,3,2,29,0,29,0.04296709503978491,,,,0,0.0,0.0,0.0,,,abstained,,0,0,,,,,,2,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-2,f3283f727488ad98fe575ea6a5ac981e4a188e49,evaluation,4
142ca369,no_deterministic_local_rule,3,2,29,0,29,0.05184408195782453,,,8,1,0.0,0.0,0.0,,,abstained,,0,0,,,,,,2,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-2,f3283f727488ad98fe575ea6a5ac981e4a188e49,evaluation,5
16b78196,no_deterministic_local_rule,2,1,29,0,29,0.0990792199736461,,,,0,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-2,f3283f727488ad98fe575ea6a5ac981e4a188e49,evaluation,6
16de56c4,no_deterministic_local_rule,3,2,29,0,29,0.019722468918189406,,,7,1,0.0,0.0,0.0,,,abstained,,0,0,,,,,,2,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-2,f3283f727488ad98fe575ea6a5ac981e4a188e49,evaluation,7
1818057f,selected,3,1,29,2,27,0.037707254057750106,0.0,0.884393063583815,,0,0.0,0.0,1.0,von_neumann_r2,2005.0,predicted_incorrect,von_neumann_r2,13,24,1444.0,8.0,1452.0,0.05991735537190083,0.05991735537190083,1,0,0.0,0.0,0,0.0,0.0,moore_r2,1,0.9586776859504132,484,1.0,1.0,0.0,0.0,ARC-AGI-2,f3283f727488ad98fe575ea6a5ac981e4a188e49,evaluation,8
195c6913,no_deterministic_local_rule,3,2,29,0,29,0.07862675294745713,,,6;7,2,0.0,0.0,0.0,,,abstained,,0,0,,,,,,2,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-2,f3283f727488ad98fe575ea6a5ac981e4a188e49,evaluation,9
1ae2feb7,no_deterministic_local_rule,3,3,29,0,29,0.026156444917432964,,,9,1,0.0,0.0,0.0,,,abstained,,0,0,,,,,,3,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-2,f3283f727488ad98fe575ea6a5ac981e4a188e49,evaluation,10
