denominator,metric,numerator,value,variant
12,tasks,12,1.0,d4_bgpad_sparse
12,hard_task_exact,1.0,0.08333333333333333,d4_bgpad_sparse
12,hard_demo_exact,10.0,0.8333333333333334,d4_bgpad_sparse
12,tasks,12,1.0,d4_sparse
12,hard_task_exact,1.0,0.08333333333333333,d4_sparse
12,hard_demo_exact,11.0,0.9166666666666666,d4_sparse
12,tasks,12,1.0,dl1
12,hard_task_exact,0.0,0.0,dl1
12,hard_demo_exact,0.0,0.0,dl1
12,tasks,12,1.0,dl1_wide
12,hard_task_exact,0.0,0.0,dl1_wide
12,hard_demo_exact,0.0,0.0,dl1_wide
12,tasks,12,1.0,sparse
12,hard_task_exact,0.0,0.0,sparse
12,hard_demo_exact,12.0,1.0,sparse
