active_non_passthrough_gates,augmentation_lodo_cell_accuracy,augmentation_lodo_pair_exact,augmentation_policy,dense_macs_per_cell_step,deployment_demo_task_exact,deployment_eligible,device,elapsed_seconds,epochs_executed,hard_cell_accuracy,hard_demo_cell_accuracy,hard_demo_pair_exact_rate,hard_demo_task_exact,hard_export_equivalent,hard_export_sha256,hard_fixed_width_circuit_bits,hard_gates_per_cell_step,hard_invalid_cells,hard_invalid_denominator,hard_invalid_rate,hard_pair_exact_count,hard_pair_exact_rate,hard_task_exact,hardening_task_drop,lodo_cell_accuracy,lodo_pair_exact,model_kind,parameter_count,parameter_storage_bits,seed,selected_by_demo,selected_horizon,shape_program,soft_cell_accuracy,soft_pair_exact_count,soft_pair_exact_rate,soft_task_exact,state_bits_per_cell,static_channels,status,task_id,test_active_cells,test_dense_macs,test_dynamic_gate_evaluations,test_executed_steps_per_example,test_fixed_point_steps,test_state_bit_updates,variant,workspace_columns,workspace_rows
,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,-1,1.0,,,,,,,,,no_deterministic_local_rule,342ae2ed,,,,,,,sparse,,
,,,none,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,0.9453125,0.0,,,,-1,1.0,,,,,,,,,no_deterministic_local_rule,342ae2ed,,,,,,,d4_sparse,,
,,,d4_bgpad,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,0.9453125,0.0,,,,-1,1.0,,,,,,,,,no_deterministic_local_rule,342ae2ed,,,,,,,d4_bgpad_sparse,,
94,0.9453125,0.0,none,,,,cuda,20.380824933061376,480,0.75,0.7786458333333334,0.0,0.0,1.0,3def0d0b2f22b4bdc6effd7d1534319c08b1ebc111f8ec8247f8fbc4cb6a74e9,4472,260,0,256,0.0,0.0,0.0,0.0,0.0,,,difflogic,4160,133120,0,1.0,1,same,0.75,0.0,0.0,0.0,12,1,trained,342ae2ed,256,,66560,1,[null],3072,dlr,16,16
99,0.9453125,0.0,none,,,,cuda,17.867278437013738,480,0.78125,0.8463541666666666,0.0,0.0,1.0,ffd20301b94ac9f712da4e1986fb32017bf0525410f887badc41557e679eb2f5,6536,340,0,256,0.0,0.0,0.0,0.0,0.0,,,difflogic,5440,174080,2,1.0,1,same,0.75,0.0,0.0,0.0,12,90,trained,342ae2ed,256,,87040,1,[null],3072,dlo,16,16
0,0.9453125,0.0,none,57600,,,cuda,6.809636665973812,480,0.8046875,0.9166666666666666,0.0,0.0,,,,,0,256,0.0,0.0,0.0,0.0,0.0,,,mlp,57900,1852800,2,1.0,2,same,0.80078125,0.0,0.0,0.0,12,90,trained,342ae2ed,256,29491200,,2,[null],6144,mlp,16,16
,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,-1,1.0,,,,,,,,,no_deterministic_local_rule,465b7d93,,,,,,,sparse,,
,,,none,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,0.9133333333333333,0.0,,,,-1,1.0,,,,,,,,,no_deterministic_local_rule,465b7d93,,,,,,,d4_sparse,,
,,,d4_bgpad,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,0.9133333333333333,0.0,,,,-1,1.0,,,,,,,,,no_deterministic_local_rule,465b7d93,,,,,,,d4_bgpad_sparse,,
96,0.9133333333333333,0.0,none,,,,cuda,17.76002177398186,480,0.61,0.7966666666666666,0.0,0.0,1.0,a4bcca86c8c9a5daaf890869124c61f175489d554a6eefc8c94ad57c9a724d43,4472,260,0,100,0.0,0.0,0.0,0.0,0.0,,,difflogic,4160,133120,2,1.0,1,same,0.61,0.0,0.0,0.0,12,1,trained,465b7d93,100,,26000,1,[null],1200,dlr,10,10
