active_non_passthrough_gates,augmentation_lodo_cell_accuracy,augmentation_lodo_pair_exact,augmentation_policy,dense_macs_per_cell_step,deployment_demo_cell_accuracy,deployment_demo_task_exact,deployment_eligible,device,elapsed_seconds,epochs_executed,hard_cell_accuracy,hard_demo_cell_accuracy,hard_demo_pair_exact_rate,hard_demo_task_exact,hard_export_equivalent,hard_export_sha256,hard_fixed_width_circuit_bits,hard_gates_per_cell_step,hard_invalid_cells,hard_invalid_denominator,hard_invalid_rate,hard_pair_exact_count,hard_pair_exact_rate,hard_task_exact,hardening_task_drop,lodo_cell_accuracy,lodo_pair_exact,model_description_bits,model_kind,neighborhood,parameter_count,parameter_storage_bits,seed,selected_by_demo,selected_horizon,shape_program,soft_cell_accuracy,soft_pair_exact_count,soft_pair_exact_rate,soft_task_exact,state_bits_per_cell,static_channels,status,task_id,test_active_cells,test_dense_macs,test_dynamic_gate_evaluations,test_executed_steps_per_example,test_fixed_point_steps,test_state_bit_updates,variant,workspace_columns,workspace_rows
,,,,,,,1.0,,,,0.9244444444444444,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,,,,,,,,,-1,1.0,,,,,,,,,selected,1b8318e3,,,,,,,sparse,,
,,,none,,1.0,1.0,1.0,,,,0.9244444444444444,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,,0.9145454545454546,0.0,5166,,moore_r2,,,-1,1.0,,,,,,,,,selected,1b8318e3,,,,,,,d4_sparse,,
,,,d4_bgpad,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,0.9145454545454546,0.0,,,,,,-1,1.0,,,,,,,,,no_deterministic_local_rule,1b8318e3,,,,,,,d4_bgpad_sparse,,
107,0.9145454545454546,0.0,none,,,,,cuda,20.74198141496163,480,0.8711111111111111,0.8618181818181818,0.0,0.0,1.0,76d682586799a0e855a75a2ee6f8f5562fab74000fca1828135697170493c28f,6536,340,0,225,0.0,0.0,0.0,0.0,0.0,,,,difflogic,,5440,174080,0,1.0,1,same,0.8711111111111111,0.0,0.0,0.0,12,90,trained,1b8318e3,225,,76500,1,[null],2700,dlo,15,15
82,0.9145454545454546,0.0,none,,,,,cuda,17.326009193086065,480,0.4488888888888889,0.4636363636363636,0.0,0.0,1.0,248a37ab828946c06e9eb732083ae2beaaaf7293e24cfb59dfd4013c5c0c71d7,6536,340,0,225,0.0,0.0,0.0,0.0,0.0,,,,difflogic,,5440,174080,1,0.0,1,same,0.8711111111111111,0.0,0.0,0.0,12,90,trained,1b8318e3,225,,76500,1,[null],2700,dlo,15,15
102,0.9145454545454546,0.0,none,,,,,cuda,17.864175585913472,480,0.8355555555555556,0.8181818181818182,0.0,0.0,1.0,09d44e49c461b21a4109395506b5ee26477a0b899bcafdbb70b5cc04c3155e49,6536,340,0,225,0.0,0.0,0.0,0.0,0.0,,,,difflogic,,5440,174080,2,0.0,2,same,0.8711111111111111,0.0,0.0,0.0,12,90,trained,1b8318e3,225,,153000,2,[null],5400,dlo,15,15
113,0.9145454545454546,0.0,none,,,,,cuda,30.317480611032806,480,0.8711111111111111,0.8618181818181818,0.0,0.0,1.0,df4b362c4b985c7de32b0612f2abd019f1c525f037ea9069c47dff8862c56c4a,7176,372,0,225,0.0,0.0,0.0,0.0,0.0,,,,difflogic,,5952,190464,0,0.0,1,same,0.8711111111111111,0.0,0.0,0.0,12,90,trained,1b8318e3,225,,83700,1,[null],2700,dlf,15,15
88,0.9145454545454546,0.0,none,,,,,cuda,29.490267604007386,480,0.8711111111111111,0.8618181818181818,0.0,0.0,1.0,895e22ff3167273b76539c6c0676ea4c73364425ae32c3d470c47cdc584e74dc,7176,372,0,225,0.0,0.0,0.0,0.0,0.0,,,,difflogic,,5952,190464,1,1.0,1,same,0.8711111111111111,0.0,0.0,0.0,12,90,trained,1b8318e3,225,,83700,1,[null],2700,dlf,15,15
98,0.9145454545454546,0.0,none,,,,,cuda,29.016867776983418,480,0.09333333333333334,0.4163636363636364,0.0,0.0,1.0,c5f96faaab3c0d3d7c214828e8633d79b9595e16777ce2ffc8ea8119a9daa0ac,7176,372,0,225,0.0,0.0,0.0,0.0,0.0,,,,difflogic,,5952,190464,2,0.0,2,same,0.8711111111111111,0.0,0.0,0.0,12,90,trained,1b8318e3,225,,167400,2,[null],5400,dlf,15,15
0,0.9145454545454546,0.0,none,57600,,,,cuda,6.64979759696871,480,0.9377777777777778,0.9672727272727273,0.0,0.0,,,,,0,225,0.0,0.0,0.0,0.0,0.0,,,,mlp,,57900,1852800,0,0.0,8,same,0.9466666666666667,0.0,0.0,0.0,12,90,trained,1b8318e3,225,103680000,,8,[null],21600,mlp,15,15
0,0.9145454545454546,0.0,none,57600,,,,cuda,6.302981065935455,480,0.9288888888888889,0.9927272727272727,0.3333333333333333,0.0,,,,,0,225,0.0,0.0,0.0,0.0,0.0,,,,mlp,,57900,1852800,1,1.0,8,same,0.8266666666666667,0.0,0.0,0.0,12,90,trained,1b8318e3,225,103680000,,8,[null],21600,mlp,15,15
0,0.9145454545454546,0.0,none,57600,,,,cuda,6.589103062986396,480,0.9422222222222222,0.9727272727272728,0.0,0.0,,,,,0,225,0.0,0.0,0.0,0.0,0.0,,,,mlp,,57900,1852800,2,0.0,4,same,0.8844444444444445,0.0,0.0,0.0,12,90,trained,1b8318e3,225,51840000,,4,[null],10800,mlp,15,15
,,,,,,,1.0,,,,0.86,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,,,,,,,,,-1,1.0,,,,,,,,,selected,6e82a1ae,,,,,,,sparse,,
,,,d4,,1.0,1.0,1.0,,,,0.93,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,,0.88,0.0,25346,,moore_r2,,,-1,1.0,,,,,,,,,selected,6e82a1ae,,,,,,,d4_sparse,,
,,,d4_bgpad,,1.0,1.0,1.0,,,,0.94,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,,0.88,0.0,15362,,moore_r2,,,-1,1.0,,,,,,,,,selected,6e82a1ae,,,,,,,d4_bgpad_sparse,,
86,0.88,0.0,d4,,,,,cuda,17.98268905596342,480,0.82,0.85,0.0,0.0,1.0,7de34799e198507eead227a145d3560f524fa478ed80323b496f017fa0cda2ae,6536,340,0,100,0.0,0.0,0.0,0.0,0.0,,,,difflogic,,5440,174080,0,0.0,1,same,0.82,0.0,0.0,0.0,12,90,trained,6e82a1ae,100,,34000,1,[null],1200,dlo,10,10
79,0.88,0.0,d4,,,,,cuda,17.714507206110284,480,0.06,0.05,0.0,0.0,1.0,5cec4cb6689986b4d491c60f34b38dd68796eda2ef50518b6a6104ea813ccb04,6536,340,0,100,0.0,0.0,0.0,0.0,0.0,,,,difflogic,,5440,174080,1,0.0,1,same,0.06,0.0,0.0,0.0,12,90,trained,6e82a1ae,100,,34000,1,[null],1200,dlo,10,10
88,0.88,0.0,d4,,,,,cuda,18.4629899780266,480,0.88,0.9,0.0,0.0,1.0,7ad6083ebd2cecbf1a51da48f8cc2fb5b86f95dedbaa4a74bbdf808283ad380a,6536,340,0,100,0.0,0.0,0.0,0.0,0.0,,,,difflogic,,5440,174080,2,1.0,1,same,0.88,0.0,0.0,0.0,12,90,trained,6e82a1ae,100,,34000,1,[null],1200,dlo,10,10
