active_non_passthrough_gates,augmentation_lodo_cell_accuracy,augmentation_lodo_pair_exact,augmentation_policy,dense_macs_per_cell_step,deployment_demo_cell_accuracy,deployment_demo_task_exact,deployment_eligible,device,elapsed_seconds,epochs_executed,hard_cell_accuracy,hard_demo_cell_accuracy,hard_demo_pair_exact_rate,hard_demo_task_exact,hard_export_equivalent,hard_export_sha256,hard_fixed_width_circuit_bits,hard_gates_per_cell_step,hard_invalid_cells,hard_invalid_denominator,hard_invalid_rate,hard_pair_exact_count,hard_pair_exact_rate,hard_task_exact,hardening_task_drop,lodo_cell_accuracy,lodo_pair_exact,model_description_bits,model_kind,neighborhood,parameter_count,parameter_storage_bits,seed,selected_by_demo,selected_horizon,shape_program,soft_cell_accuracy,soft_pair_exact_count,soft_pair_exact_rate,soft_task_exact,state_bits_per_cell,static_channels,status,task_id,test_active_cells,test_dense_macs,test_dynamic_gate_evaluations,test_executed_steps_per_example,test_fixed_point_steps,test_state_bit_updates,variant,workspace_columns,workspace_rows
,,,,,,,1.0,,,,0.9244444444444444,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,,,,,,,,,-1,1.0,,,,,,,,,selected,1b8318e3,,,,,,,sparse,,
,,,none,,1.0,1.0,1.0,,,,0.9244444444444444,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,,0.9145454545454546,0.0,5166,,moore_r2,,,-1,1.0,,,,,,,,,selected,1b8318e3,,,,,,,d4_sparse,,
,,,d4_bgpad,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,0.9145454545454546,0.0,,,,,,-1,1.0,,,,,,,,,no_deterministic_local_rule,1b8318e3,,,,,,,d4_bgpad_sparse,,
107,0.9145454545454546,0.0,none,,,,,cuda,20.74198141496163,480,0.8711111111111111,0.8618181818181818,0.0,0.0,1.0,76d682586799a0e855a75a2ee6f8f5562fab74000fca1828135697170493c28f,6536,340,0,225,0.0,0.0,0.0,0.0,0.0,,,,difflogic,,5440,174080,0,1.0,1,same,0.8711111111111111,0.0,0.0,0.0,12,90,trained,1b8318e3,225,,76500,1,[null],2700,dlo,15,15
88,0.9145454545454546,0.0,none,,,,,cuda,29.490267604007386,480,0.8711111111111111,0.8618181818181818,0.0,0.0,1.0,895e22ff3167273b76539c6c0676ea4c73364425ae32c3d470c47cdc584e74dc,7176,372,0,225,0.0,0.0,0.0,0.0,0.0,,,,difflogic,,5952,190464,1,1.0,1,same,0.8711111111111111,0.0,0.0,0.0,12,90,trained,1b8318e3,225,,83700,1,[null],2700,dlf,15,15
0,0.9145454545454546,0.0,none,57600,,,,cuda,6.302981065935455,480,0.9288888888888889,0.9927272727272727,0.3333333333333333,0.0,,,,,0,225,0.0,0.0,0.0,0.0,0.0,,,,mlp,,57900,1852800,1,1.0,8,same,0.8266666666666667,0.0,0.0,0.0,12,90,trained,1b8318e3,225,103680000,,8,[null],21600,mlp,15,15
,,,,,,,1.0,,,,0.86,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,,,,,,,,,-1,1.0,,,,,,,,,selected,6e82a1ae,,,,,,,sparse,,
,,,d4,,1.0,1.0,1.0,,,,0.93,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,,0.88,0.0,25346,,moore_r2,,,-1,1.0,,,,,,,,,selected,6e82a1ae,,,,,,,d4_sparse,,
,,,d4_bgpad,,1.0,1.0,1.0,,,,0.94,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,,0.88,0.0,15362,,moore_r2,,,-1,1.0,,,,,,,,,selected,6e82a1ae,,,,,,,d4_bgpad_sparse,,
88,0.88,0.0,d4,,,,,cuda,18.4629899780266,480,0.88,0.9,0.0,0.0,1.0,7ad6083ebd2cecbf1a51da48f8cc2fb5b86f95dedbaa4a74bbdf808283ad380a,6536,340,0,100,0.0,0.0,0.0,0.0,0.0,,,,difflogic,,5440,174080,2,1.0,1,same,0.88,0.0,0.0,0.0,12,90,trained,6e82a1ae,100,,34000,1,[null],1200,dlo,10,10
85,0.88,0.0,d4,,,,,cuda,30.36046419199556,480,0.85,0.875,0.0,0.0,1.0,6f34e4fa2722d006df9f26a40b6b5c35f2513dfae64bf1d0070233ac91144dff,7176,372,0,100,0.0,0.0,0.0,0.0,0.0,,,,difflogic,,5952,190464,0,1.0,1,same,0.82,0.0,0.0,0.0,12,90,trained,6e82a1ae,100,,37200,1,[null],1200,dlf,10,10
0,0.88,0.0,d4,57600,,,,cuda,8.093288666103035,480,0.96,1.0,1.0,1.0,,,,,0,100,0.0,0.0,0.0,0.0,0.0,,,,mlp,,57900,1852800,2,1.0,4,same,0.96,0.0,0.0,0.0,12,90,trained,6e82a1ae,100,23040000,,4,[null],4800,mlp,10,10
,,,,,,,1.0,,,,0.8373702422145328,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,,,,,,,,,-1,1.0,,,,,,,,,selected,e734a0e8,,,,,,,sparse,,
,,,none,,1.0,1.0,1.0,,,,0.8373702422145328,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,,0.916923076923077,0.0,3502,,moore_r2,,,-1,1.0,,,,,,,,,selected,e734a0e8,,,,,,,d4_sparse,,
,,,d4_bgpad,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,0.916923076923077,0.0,,,,,,-1,1.0,,,,,,,,,no_deterministic_local_rule,e734a0e8,,,,,,,d4_bgpad_sparse,,
86,0.916923076923077,0.0,none,,,,,cuda,16.837931128917262,480,0.8269896193771626,0.8723076923076923,0.0,0.0,1.0,ac85d5ab43c551cdfbd0068ec7fd3d3a1bbbb0c54219012184ddf932fabcf0c0,6536,340,0,289,0.0,0.0,0.0,0.0,0.0,,,,difflogic,,5440,174080,1,1.0,1,same,0.8269896193771626,0.0,0.0,0.0,12,90,trained,e734a0e8,289,,98260,1,[null],3468,dlo,23,23
87,0.916923076923077,0.0,none,,,,,cuda,29.055663212086074,480,0.6262975778546713,0.6430769230769231,0.0,0.0,1.0,417caf0d0bf140d27d1f536fadd5ac67beef5e8a7be08459013e8adb51e33cda,7176,372,0,289,0.0,0.0,0.0,0.0,0.0,,,,difflogic,,5952,190464,1,1.0,1,same,0.6262975778546713,0.0,0.0,0.0,12,90,trained,e734a0e8,289,,107508,1,[null],3468,dlf,23,23
0,0.916923076923077,0.0,none,57600,,,,cuda,6.215086432988755,480,0.7750865051903114,0.9984615384615385,0.5,0.0,,,,,0,289,0.0,0.0,0.0,0.0,0.0,,,,mlp,,57900,1852800,1,1.0,4,same,0.7612456747404844,0.0,0.0,0.0,12,90,trained,e734a0e8,289,66585600,,4,[null],13872,mlp,23,23
,,,,,,,1.0,,,,0.5396825396825397,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,,,,,,,,,-1,1.0,,,,,,,,,selected,fc754716,,,,,,,sparse,,
,,,none,,1.0,1.0,1.0,,,,0.5396825396825397,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,,0.2857142857142857,0.0,6414,,moore_r2,,,-1,1.0,,,,,,,,,selected,fc754716,,,,,,,d4_sparse,,
