denominator,metric,numerator,value,variant
1,tasks,1,1.0,d4_bgpad_sparse
1,hard_task_exact,0.0,0.0,d4_bgpad_sparse
1,hard_demo_exact,1.0,1.0,d4_bgpad_sparse
1,tasks,1,1.0,d4_sparse
1,hard_task_exact,0.0,0.0,d4_sparse
1,hard_demo_exact,1.0,1.0,d4_sparse
1,tasks,1,1.0,dl1
1,hard_task_exact,0.0,0.0,dl1
1,hard_demo_exact,0.0,0.0,dl1
1,tasks,1,1.0,dlo1
1,hard_task_exact,0.0,0.0,dlo1
1,hard_demo_exact,0.0,0.0,dlo1
1,tasks,1,1.0,mlpo1
1,hard_task_exact,0.0,0.0,mlpo1
1,hard_demo_exact,1.0,1.0,mlpo1
1,tasks,1,1.0,sparse
1,hard_task_exact,0.0,0.0,sparse
1,hard_demo_exact,1.0,1.0,sparse
