active_non_passthrough_gates,augmentation_lodo_cell_accuracy,augmentation_lodo_pair_exact,augmentation_policy,dense_macs_per_cell_step,deployment_demo_cell_accuracy,deployment_demo_task_exact,deployment_eligible,device,elapsed_seconds,epochs_executed,hard_cell_accuracy,hard_demo_cell_accuracy,hard_demo_pair_exact_rate,hard_demo_task_exact,hard_export_equivalent,hard_export_sha256,hard_fixed_width_circuit_bits,hard_gates_per_cell_step,hard_invalid_cells,hard_invalid_denominator,hard_invalid_rate,hard_pair_exact_count,hard_pair_exact_rate,hard_task_exact,hardening_task_drop,lodo_cell_accuracy,lodo_pair_exact,model_description_bits,model_kind,neighborhood,parameter_count,parameter_storage_bits,seed,selected_by_demo,selected_horizon,shape_program,soft_cell_accuracy,soft_pair_exact_count,soft_pair_exact_rate,soft_task_exact,state_bits_per_cell,static_channels,status,task_id,test_active_cells,test_dense_macs,test_dynamic_gate_evaluations,test_executed_steps_per_example,test_fixed_point_steps,test_state_bit_updates,variant,workspace_columns,workspace_rows
,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,-1,1.0,,,,,,,,,selected,syn_hidden_shift2,,,,,,,sparse,,
,,,none,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,,1.0,1.0,62,,center_wire_+0_-2,,,-1,1.0,,,,,,,,,selected,syn_hidden_shift2,,,,,,,d4_sparse,,
,,,d4_bgpad,,1.0,1.0,1.0,,,,0.6296296296296297,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,,1.0,1.0,19730,,moore_r2,,,-1,1.0,,,,,,,,,selected,syn_hidden_shift2,,,,,,,d4_bgpad_sparse,,
7,1.0,1.0,none,,,,,cuda,8.57560919795651,480,0.25925925925925924,0.25396825396825395,0.0,0.0,1.0,19f2efe3be8d99f2c91a2cb778c9ac8539899db184134df51d878648751e6b53,2704,164,0,27,0.0,0.0,0.0,0.0,0.0,,,,difflogic,,2624,83968,0,0.0,1,same,0.7407407407407407,0.0,0.0,0.0,4,1,trained,syn_hidden_shift2,27,,4428,1,[null],108,dl1,9,3
1,1.0,1.0,none,,,,,cuda,5.665796795976348,480,0.25925925925925924,0.25396825396825395,0.0,0.0,1.0,27e819a1674be49a294248d9454ee69715a687a16c6c899cc672c328bec547f4,2704,164,0,27,0.0,0.0,0.0,0.0,0.0,,,,difflogic,,2624,83968,1,0.0,1,same,0.25925925925925924,0.0,0.0,0.0,4,1,trained,syn_hidden_shift2,27,,4428,1,[null],108,dl1,9,3
3,1.0,1.0,none,,,,,cuda,5.656674381927587,480,0.6296296296296297,0.5555555555555556,0.0,0.0,1.0,d49ffcf283bb5108ef8fb2d116047e0cbdc16ca7f9b14b345847f72363825740,2704,164,0,27,0.0,0.0,0.0,0.0,0.0,,,,difflogic,,2624,83968,2,1.0,1,same,0.7407407407407407,0.0,0.0,0.0,4,1,trained,syn_hidden_shift2,27,,4428,1,[1],108,dl1,9,3
75,1.0,1.0,none,,,,,cuda,8.184391952003352,361,1.0,1.0,1.0,1.0,1.0,f2515daa8c8d8b0e091d8c70dc39f8c15f8c700a1453afad15b2b853dfe82d41,4472,260,0,27,0.0,1.0,1.0,1.0,0.0,,,,difflogic,,4160,133120,0,1.0,2,same,1.0,1.0,1.0,1.0,12,1,trained,syn_hidden_shift2,27,,14040,2,[null],648,dlr2,9,3
57,1.0,1.0,none,,,,,cuda,11.150746218976565,480,0.7407407407407407,0.746031746031746,0.0,0.0,1.0,70a2a10fa5c0a6c13782ce95d09f1a6fb07837fa74d9102a70bbe17fbfd22cd0,4472,260,0,27,0.0,0.0,0.0,0.0,0.0,,,,difflogic,,4160,133120,1,0.0,1,same,0.25925925925925924,0.0,0.0,0.0,12,1,trained,syn_hidden_shift2,27,,7020,1,[null],324,dlr2,9,3
64,1.0,1.0,none,,,,,cuda,11.043055059039034,480,0.25925925925925924,0.25396825396825395,0.0,0.0,1.0,4139022028a35fb4fb3a11e00f5c9ac002116f9252b2b887137696a42b5e4561,4472,260,0,27,0.0,0.0,0.0,0.0,0.0,,,,difflogic,,4160,133120,2,0.0,1,same,0.25925925925925924,0.0,0.0,0.0,12,1,trained,syn_hidden_shift2,27,,7020,1,[null],324,dlr2,9,3
,,,,,,,1.0,,,,0.4,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,,,,,,,,,-1,1.0,,,,,,,,,selected,syn_hidden_dilation2,,,,,,,sparse,,
