active_non_passthrough_gates,augmentation_lodo_cell_accuracy,augmentation_lodo_pair_exact,augmentation_policy,dense_macs_per_cell_step,deployment_demo_task_exact,deployment_eligible,device,elapsed_seconds,epochs_executed,hard_cell_accuracy,hard_demo_cell_accuracy,hard_demo_pair_exact_rate,hard_demo_task_exact,hard_export_equivalent,hard_export_sha256,hard_fixed_width_circuit_bits,hard_gates_per_cell_step,hard_invalid_cells,hard_invalid_denominator,hard_invalid_rate,hard_pair_exact_count,hard_pair_exact_rate,hard_task_exact,hardening_task_drop,lodo_cell_accuracy,lodo_pair_exact,model_kind,parameter_count,parameter_storage_bits,seed,selected_by_demo,selected_horizon,shape_program,soft_cell_accuracy,soft_pair_exact_count,soft_pair_exact_rate,soft_task_exact,state_bits_per_cell,static_channels,status,task_id,test_active_cells,test_dense_macs,test_dynamic_gate_evaluations,test_executed_steps_per_example,test_fixed_point_steps,test_state_bit_updates,variant,workspace_columns,workspace_rows
,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,-1,1.0,,,,,,,,,unsupported_shape_change,syn_shape_constant,,,,,,,sparse,,
,,,none,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,-1,1.0,,,,,,,,,unsupported_shape_change,syn_shape_constant,,,,,,,d4_sparse,,
,,,d4_bgpad,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,-1,1.0,,,,,,,,,unsupported_shape_change,syn_shape_constant,,,,,,,d4_bgpad_sparse,,
89,0.0,0.0,none,,,,cuda,20.938580288086087,361,1.0,1.0,1.0,1.0,1.0,97a064a946fbfbb214a0e3be8ae27ab98f8701255fe3bfe60145bb2b798d6d88,7176,372,0,6,0.0,1.0,1.0,1.0,0.0,,,difflogic,5952,190464,0,0.0,1,constant:2:3,1.0,1.0,1.0,1.0,12,90,trained,syn_shape_constant,8,,2976,1,[null],96,dlf,4,3
75,0.0,0.0,none,,,,cuda,18.205937295919284,361,1.0,1.0,1.0,1.0,1.0,48576e5b828df7170b0dcc2b10ac8ef965dedae5d20add33ac9a1b8a13fcfd55,7176,372,0,6,0.0,1.0,1.0,1.0,0.0,,,difflogic,5952,190464,1,1.0,1,constant:2:3,1.0,1.0,1.0,1.0,12,90,trained,syn_shape_constant,8,,2976,1,[null],96,dlf,4,3
84,0.0,0.0,none,,,,cuda,18.64059346099384,361,1.0,1.0,1.0,1.0,1.0,c7d44674392d7a5aa5c749eeb5086dc72081c06de7ab3cc57bde6a8d153ddec9,7176,372,0,6,0.0,1.0,1.0,1.0,0.0,,,difflogic,5952,190464,2,0.0,1,constant:2:3,1.0,1.0,1.0,1.0,12,90,trained,syn_shape_constant,8,,2976,1,[null],96,dlf,4,3
0,0.0,0.0,none,57600,,,cuda,5.868469948065467,361,1.0,1.0,1.0,1.0,,,,,0,6,0.0,1.0,1.0,1.0,0.0,,,mlp,57900,1852800,0,1.0,1,constant:2:3,1.0,1.0,1.0,1.0,12,90,trained,syn_shape_constant,8,460800,,1,[null],96,mlp,4,3
0,0.0,0.0,none,57600,,,cuda,5.167647117050365,361,1.0,1.0,1.0,1.0,,,,,0,6,0.0,1.0,1.0,1.0,0.0,,,mlp,57900,1852800,1,0.0,1,constant:2:3,1.0,1.0,1.0,1.0,12,90,trained,syn_shape_constant,8,460800,,1,[null],96,mlp,4,3
0,0.0,0.0,none,57600,,,cuda,4.663589396048337,361,1.0,1.0,1.0,1.0,,,,,0,6,0.0,1.0,1.0,1.0,0.0,,,mlp,57900,1852800,2,0.0,1,constant:2:3,1.0,1.0,1.0,1.0,12,90,trained,syn_shape_constant,8,460800,,1,[null],96,mlp,4,3
,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,-1,1.0,,,,,,,,,unsupported_shape_change,syn_shape_scale2,,,,,,,sparse,,
,,,none,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,-1,1.0,,,,,,,,,unsupported_shape_change,syn_shape_scale2,,,,,,,d4_sparse,,
,,,d4_bgpad,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,-1,1.0,,,,,,,,,unsupported_shape_change,syn_shape_scale2,,,,,,,d4_bgpad_sparse,,
81,0.0,0.0,none,,,,cuda,25.860313583980314,480,0.16666666666666666,0.175,0.0,0.0,1.0,2283582af1b8c274f07502ec57628b799e889687b96aeda6f386d23c5da14c30,7176,372,0,24,0.0,0.0,0.0,0.0,0.0,,,difflogic,5952,190464,0,0.0,1,scale:2:2,0.2916666666666667,0.0,0.0,0.0,12,90,trained,syn_shape_scale2,24,,8928,1,[null],288,dlf,6,6
