active_non_passthrough_gates,augmentation_lodo_cell_accuracy,augmentation_lodo_pair_exact,augmentation_policy,dense_macs_per_cell_step,deployment_demo_task_exact,deployment_eligible,device,elapsed_seconds,epochs_executed,hard_cell_accuracy,hard_demo_cell_accuracy,hard_demo_pair_exact_rate,hard_demo_task_exact,hard_export_equivalent,hard_export_sha256,hard_fixed_width_circuit_bits,hard_gates_per_cell_step,hard_invalid_cells,hard_invalid_denominator,hard_invalid_rate,hard_pair_exact_count,hard_pair_exact_rate,hard_task_exact,hardening_task_drop,lodo_cell_accuracy,lodo_pair_exact,model_kind,parameter_count,parameter_storage_bits,seed,selected_by_demo,selected_horizon,shape_program,soft_cell_accuracy,soft_pair_exact_count,soft_pair_exact_rate,soft_task_exact,state_bits_per_cell,static_channels,status,task_id,test_active_cells,test_dense_macs,test_dynamic_gate_evaluations,test_executed_steps_per_example,test_fixed_point_steps,test_state_bit_updates,variant,workspace_columns,workspace_rows
,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,-1,1.0,,,,,,,,,unsupported_shape_change,syn_shape_constant,,,,,,,sparse,,
,,,none,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,-1,1.0,,,,,,,,,unsupported_shape_change,syn_shape_constant,,,,,,,d4_sparse,,
,,,d4_bgpad,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,-1,1.0,,,,,,,,,unsupported_shape_change,syn_shape_constant,,,,,,,d4_bgpad_sparse,,
75,0.0,0.0,none,,,,cuda,18.205937295919284,361,1.0,1.0,1.0,1.0,1.0,48576e5b828df7170b0dcc2b10ac8ef965dedae5d20add33ac9a1b8a13fcfd55,7176,372,0,6,0.0,1.0,1.0,1.0,0.0,,,difflogic,5952,190464,1,1.0,1,constant:2:3,1.0,1.0,1.0,1.0,12,90,trained,syn_shape_constant,8,,2976,1,[null],96,dlf,4,3
0,0.0,0.0,none,57600,,,cuda,5.868469948065467,361,1.0,1.0,1.0,1.0,,,,,0,6,0.0,1.0,1.0,1.0,0.0,,,mlp,57900,1852800,0,1.0,1,constant:2:3,1.0,1.0,1.0,1.0,12,90,trained,syn_shape_constant,8,460800,,1,[null],96,mlp,4,3
,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,-1,1.0,,,,,,,,,unsupported_shape_change,syn_shape_scale2,,,,,,,sparse,,
,,,none,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,-1,1.0,,,,,,,,,unsupported_shape_change,syn_shape_scale2,,,,,,,d4_sparse,,
,,,d4_bgpad,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,-1,1.0,,,,,,,,,unsupported_shape_change,syn_shape_scale2,,,,,,,d4_bgpad_sparse,,
74,0.0,0.0,none,,,,cuda,24.167917015962303,480,0.16666666666666666,0.375,0.0,0.0,1.0,a918bcf2a4a621b7b09048e16e76809ef2813ca91da683f0a1cafad43a5e18bb,7176,372,0,24,0.0,0.0,0.0,0.0,0.0,,,difflogic,5952,190464,2,1.0,4,scale:2:2,0.25,0.0,0.0,0.0,12,90,trained,syn_shape_scale2,24,,35712,4,[4],1152,dlf,6,6
0,0.0,0.0,none,57600,,,cuda,6.332630058052018,480,0.25,1.0,1.0,1.0,,,,,0,24,0.0,0.0,0.0,0.0,0.0,,,mlp,57900,1852800,0,1.0,4,scale:2:2,0.2916666666666667,0.0,0.0,0.0,12,90,trained,syn_shape_scale2,24,5529600,,4,[null],1152,mlp,6,6
